"",BBK01.OEAF39I,BBK01.OEAF39I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:07:43,
2002-01,0.504,
2002-04,0.495,
2002-07,0.487,
2002-10,0.492,
2003-01,0.490,
2003-04,0.490,
2003-07,0.529,
2003-10,0.541,
2004-01,0.467,
2004-04,0.479,
2004-07,0.461,
2004-10,0.457,
2005-01,0.463,
2005-04,0.462,
2005-07,0.444,
2005-10,0.432,
2006-01,0.438,
2006-04,0.420,
2006-07,0.416,
2006-10,0.435,
2007-01,0.436,
2007-04,0.426,
2007-07,0.384,
2007-10,0.363,
2008-01,0.357,
2008-04,0.355,
2008-07,0.329,
2008-10,0.309,
2009-01,0.306,
2009-04,0.305,
2009-07,0.302,
2009-10,0.295,
2010-01,0.299,
2010-04,0.294,
2010-07,0.326,
2010-10,0.354,
2011-01,0.335,
2011-04,0.329,
2011-07,0.332,
2011-10,0.330,
2012-01,0.340,
2012-04,0.341,
2012-07,0.341,
2012-10,0.334,
2013-01,0.329,
2013-04,0.331,
2013-07,0.332,
2013-10,0.331,
2014-01,0.327,
2014-04,0.331,
2014-07,0.334,
