"",BBQFS.Q.DE.BANK.SEC_BOND_DIR.DE.CONF,BBQFS.Q.DE.BANK.SEC_BOND_DIR.DE.CONF_FLAGS
"","Securities held by banks in Germany - bonds issued by domestic non-financial corporations, held directly (FSR 2014)",
unit,¤ (hypothetically euro-based),
unit multiplier,billion,
last update,2015-01-07 17:09:36,
2002-01,13.57,
2002-04,13.58,
2002-07,11.15,
2002-10,10.04,
2003-01,10.99,
2003-04,11.14,
2003-07,11.11,
2003-10,9.94,
2004-01,9.94,
2004-04,8.15,
2004-07,7.16,
2004-10,5.27,
2005-01,5.12,
2005-04,5.72,
2005-07,6.02,
2005-10,5.90,
2006-01,5.99,
2006-04,9.98,
2006-07,10.39,
2006-10,10.69,
2007-01,6.96,
2007-04,7.12,
2007-07,9.36,
2007-10,8.56,
2008-01,7.85,
2008-04,7.25,
2008-07,6.97,
2008-10,7.62,
2009-01,7.10,
2009-04,6.19,
2009-07,6.08,
2009-10,5.84,
2010-01,6.23,
2010-04,5.84,
2010-07,5.88,
2010-10,5.68,
2011-01,9.97,
2011-04,10.13,
2011-07,10.60,
2011-10,10.65,
2012-01,11.46,
2012-04,7.02,
2012-07,7.41,
2012-10,7.48,
2013-01,7.85,
2013-04,8.47,
2013-07,7.89,
2013-10,8.12,
2014-01,8.94,
2014-04,9.18,
2014-07,9.40,
"",Methodology: As reported in financial statements,
