"",BBK01.OEYJ01U,BBK01.OEYJ01U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:05:33,
2002-01,0.109,
2002-04,0.085,
2002-07,0.086,
2002-10,0.114,
2003-01,0.108,
2003-04,0.104,
2003-07,0.091,
2003-10,0.086,
2004-01,0.076,
2004-04,0.063,
2004-07,0.060,
2004-10,0.053,
2005-01,0.050,
2005-04,0.055,
2005-07,0.055,
2005-10,0.065,
2006-01,0.063,
2006-04,0.069,
2006-07,0.060,
2006-10,0.061,
2007-01,0.092,
2007-04,0.057,
2007-07,0.063,
2007-10,0.054,
2008-01,0.057,
2008-04,0.066,
2008-07,0.113,
2008-10,0.259,
2009-01,0.377,
2009-04,0.366,
2009-07,0.393,
2009-10,0.409,
2010-01,0.440,
2010-04,0.518,
2010-07,0.527,
2010-10,0.537,
2011-01,0.543,
2011-04,0.599,
2011-07,0.602,
2011-10,0.575,
2012-01,0.642,
2012-04,0.675,
2012-07,0.672,
2012-10,0.775,
2013-01,0.854,
2013-04,0.961,
2013-07,0.970,
2013-10,0.983,
2014-01,0.980,
2014-04,0.980,
2014-07,0.973,
