"",BBK01.OEYJ03V,BBK01.OEYJ03V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:05:47,
2002-01,3.858,
2002-04,3.983,
2002-07,3.850,
2002-10,3.925,
2003-01,4.019,
2003-04,4.144,
2003-07,4.161,
2003-10,4.239,
2004-01,4.233,
2004-04,4.857,
2004-07,4.994,
2004-10,5.206,
2005-01,5.046,
2005-04,4.878,
2005-07,5.707,
2005-10,5.747,
2006-01,5.635,
2006-04,5.765,
2006-07,5.807,
2006-10,5.762,
2007-01,5.997,
2007-04,5.804,
2007-07,5.781,
2007-10,5.672,
2008-01,5.814,
2008-04,0.963,
2008-07,0.980,
2008-10,1.055,
2009-01,1.079,
2009-04,1.059,
2009-07,1.001,
2009-10,1.096,
2010-01,1.210,
2010-04,1.204,
2010-07,1.159,
2010-10,1.243,
2011-01,1.180,
2011-04,1.208,
2011-07,1.571,
2011-10,1.604,
2012-01,1.523,
2012-04,1.529,
2012-07,1.477,
2012-10,1.413,
2013-01,1.480,
2013-04,1.514,
2013-07,1.424,
2013-10,1.467,
2014-01,1.491,
2014-04,1.441,
2014-07,1.438,
