"",BBK01.OEAD04M,BBK01.OEAD04M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:59:08,
2002-01,0.728,
2002-04,0.687,
2002-07,0.644,
2002-10,0.633,
2003-01,0.656,
2003-04,0.609,
2003-07,0.563,
2003-10,0.560,
2004-01,0.576,
2004-04,0.570,
2004-07,0.530,
2004-10,0.531,
2005-01,0.553,
2005-04,0.525,
2005-07,0.511,
2005-10,0.475,
2006-01,0.505,
2006-04,0.506,
2006-07,0.467,
2006-10,0.449,
2007-01,0.448,
2007-04,0.450,
2007-07,0.434,
2007-10,0.425,
2008-01,0.434,
2008-04,0.414,
2008-07,0.428,
2008-10,0.455,
2009-01,0.484,
2009-04,0.494,
2009-07,0.469,
2009-10,0.454,
2010-01,0.553,
2010-04,0.565,
2010-07,0.540,
2010-10,0.513,
2011-01,0.533,
2011-04,0.496,
2011-07,0.492,
2011-10,0.493,
2012-01,0.542,
2012-04,0.499,
2012-07,0.486,
2012-10,0.461,
2013-01,0.503,
2013-04,0.495,
2013-07,0.458,
2013-10,0.447,
2014-01,0.457,
2014-04,0.461,
2014-07,0.442,
