"",BBFB1.Q.N.DE.CH.S1.S1.T.L.FA.D.F5B._Z._T._X.N,BBFB1.Q.N.DE.CH.S1.S1.T.L.FA.D.F5B._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Direct investment / Equity / Reinvested earnings / Switzerland,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:44:42,
1991-01,48.028,
1991-04,82.305,
1991-07,83.651,
1991-10,55.887,
1992-01,-104.203,
1992-04,-100.515,
1992-07,-112.561,
1992-10,-137.304,
1993-01,-123.202,
1993-04,-120.467,
1993-07,-143.854,
1993-10,-346.215,
1994-01,-5.019,
1994-04,4.562,
1994-07,-85.466,
1994-10,-44.085,
1995-01,-122.509,
1995-04,-115.448,
1995-07,-116.484,
1995-10,-177.249,
1996-01,27.472,
1996-04,11.114,
1996-07,25.969,
1996-10,-85.138,
1997-01,-3.857,
1997-04,-3.379,
1997-07,-16.540,
1997-10,-244.074,
1998-01,-1.989,
1998-04,-14.353,
1998-07,-2.265,
1998-10,-8.027,
1999-01,18.863,
1999-04,16.110,
1999-07,-4.033,
1999-10,11.023,
2000-01,57.543,
2000-04,52.823,
2000-07,56.165,
2000-10,47.777,
2001-01,201.533,
2001-04,-79.043,
2001-07,46.179,
2001-10,-66.204,
2002-01,144.658,
2002-04,123.636,
2002-07,116.918,
2002-10,-1229.036,
2003-01,95.924,
2003-04,-390.938,
2003-07,-82.235,
2003-10,-237.602,
2004-01,235.669,
2004-04,72.105,
2004-07,90.616,
2004-10,437.135,
2005-01,579.964,
2005-04,220.444,
2005-07,-805.831,
2005-10,431.126,
2006-01,277.499,
2006-04,312.143,
2006-07,517.424,
2006-10,-95.723,
2007-01,367.570,
2007-04,-647.762,
2007-07,472.335,
2007-10,-198.105,
2008-01,-1009.315,
2008-04,-1076.788,
2008-07,166.646,
2008-10,-849.185,
2009-01,-231.538,
2009-04,-540.490,
2009-07,219.078,
2009-10,377.448,
2010-01,10.387,
2010-04,-1006.363,
2010-07,235.864,
2010-10,192.668,
2011-01,810.908,
2011-04,393.894,
2011-07,581.806,
2011-10,102.535,
2012-01,1016.095,
2012-04,936.991,
2012-07,1192.076,
2012-10,1137.017,
2013-01,587.973,
2013-04,282.112,
2013-07,-128.634,
2013-10,-356.390,
2014-01,652.491,Provisional value
2014-04,563.885,Provisional value
2014-07,728.946,Provisional value
2014-10,609.034,Provisional value
