"",BBK01.OEBL06O,BBK01.OEBL06O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:14:48,
2002-01,-0.665,
2002-04,-0.648,
2002-07,-0.528,
2002-10,-0.192,
2003-01,-0.122,
2003-04,-0.094,
2003-07,-0.061,
2003-10,-0.031,
2004-01,0.034,
2004-04,0.045,
2004-07,0.059,
2004-10,0.062,
2005-01,0.073,
2005-04,0.073,
2005-07,0.079,
2005-10,0.082,
2006-01,0.080,
2006-04,0.062,
2006-07,0.068,
2006-10,0.071,
2007-01,0.073,
2007-04,0.079,
2007-07,0.080,
2007-10,0.093,
2008-01,0.112,
2008-04,0.130,
2008-07,0.144,
2008-10,0.169,
2009-01,0.203,
2009-04,0.181,
2009-07,0.168,
2009-10,0.151,
2010-01,0.169,
2010-04,0.208,
2010-07,0.235,
2010-10,0.255,
2011-01,0.276,
2011-04,0.317,
2011-07,0.340,
2011-10,0.329,
2012-01,0.319,
2012-04,0.326,
2012-07,0.321,
2012-10,0.289,
2013-01,0.247,
2013-04,0.206,
2013-07,0.196,
2013-10,0.187,
2014-01,0.179,
2014-04,0.160,
2014-07,0.137,
