"",BBK01.OEYB07Q,BBK01.OEYB07Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:37:07,
2002-01,4.237,
2002-04,4.325,
2002-07,4.323,
2002-10,4.057,
2003-01,3.899,
2003-04,3.984,
2003-07,3.877,
2003-10,4.017,
2004-01,3.524,
2004-04,2.964,
2004-07,2.787,
2004-10,2.708,
2005-01,2.619,
2005-04,2.539,
2005-07,2.417,
2005-10,2.508,
2006-01,2.397,
2006-04,2.285,
2006-07,2.331,
2006-10,2.765,
2007-01,2.957,
2007-04,2.970,
2007-07,3.240,
2007-10,2.928,
2008-01,2.558,
2008-04,2.559,
2008-07,2.663,
2008-10,2.704,
2009-01,2.546,
2009-04,2.890,
2009-07,3.035,
2009-10,4.103,
2010-01,3.922,
2010-04,3.437,
2010-07,2.579,
2010-10,2.299,
2011-01,2.470,
2011-04,2.293,
2011-07,1.268,
2011-10,1.222,
2012-01,1.223,
2012-04,1.214,
2012-07,1.112,
2012-10,1.638,
2013-01,1.425,
2013-04,1.309,
2013-07,1.172,
2013-10,1.662,
2014-01,1.542,
2014-04,1.744,
2014-07,1.790,
