"",BBK01.OEBB23I,BBK01.OEBB23I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:26:57,
2002-01,0.081,
2002-04,0.073,
2002-07,0.066,
2002-10,0.080,
2003-01,0.077,
2003-04,0.075,
2003-07,0.083,
2003-10,0.097,
2004-01,0.081,
2004-04,0.079,
2004-07,0.091,
2004-10,0.059,
2005-01,0.068,
2005-04,0.068,
2005-07,0.069,
2005-10,0.067,
2006-01,0.066,
2006-04,0.030,
2006-07,0.031,
2006-10,0.032,
2007-01,0.051,
2007-04,0.052,
2007-07,0.068,
2007-10,0.072,
2008-01,0.076,
2008-04,0.066,
2008-07,0.042,
2008-10,0.021,
2009-01,0.011,
2009-04,0.012,
2009-07,0.016,
2009-10,0.020,
2010-01,0.029,
2010-04,0.018,
2010-07,0.013,
2010-10,0.014,
2011-01,0.013,
2011-04,0.015,
2011-07,0.018,
2011-10,0.023,
2012-01,0.030,
2012-04,0.030,
2012-07,0.173,
2012-10,0.201,
2013-01,0.200,
2013-04,0.071,
2013-07,0.073,
2013-10,0.084,
2014-01,0.126,
2014-04,0.123,
2014-07,0.105,
