"",BBK01.OECO01U,BBK01.OECO01U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:15:59,
2002-01,0.736,
2002-04,0.733,
2002-07,0.580,
2002-10,0.585,
2003-01,0.643,
2003-04,0.652,
2003-07,0.626,
2003-10,0.644,
2004-01,0.642,
2004-04,0.658,
2004-07,0.649,
2004-10,0.688,
2005-01,1.422,
2005-04,1.408,
2005-07,1.382,
2005-10,1.374,
2006-01,1.351,
2006-04,1.342,
2006-07,1.309,
2006-10,1.271,
2007-01,1.252,
2007-04,1.261,
2007-07,1.243,
2007-10,1.213,
2008-01,1.229,
2008-04,1.217,
2008-07,1.243,
2008-10,1.207,
2009-01,1.229,
2009-04,1.255,
2009-07,1.277,
2009-10,1.319,
2010-01,1.359,
2010-04,1.377,
2010-07,1.388,
2010-10,1.400,
2011-01,1.401,
2011-04,1.381,
2011-07,1.364,
2011-10,1.346,
2012-01,1.342,
2012-04,1.449,
2012-07,1.431,
2012-10,1.446,
2013-01,1.495,
2013-04,1.486,
2013-07,1.471,
2013-10,1.462,
2014-01,1.481,
2014-04,1.475,
2014-07,1.452,
