"",BBK01.OEHJ05Q,BBK01.OEHJ05Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:02:41,
2002-01,0.331,
2002-04,0.319,
2002-07,0.339,
2002-10,0.329,
2003-01,0.346,
2003-04,0.363,
2003-07,0.391,
2003-10,0.427,
2004-01,0.435,
2004-04,0.500,
2004-07,0.547,
2004-10,0.634,
2005-01,0.626,
2005-04,0.645,
2005-07,0.635,
2005-10,0.705,
2006-01,0.726,
2006-04,0.790,
2006-07,0.798,
2006-10,0.830,
2007-01,0.850,
2007-04,0.860,
2007-07,0.861,
2007-10,0.855,
2008-01,0.848,
2008-04,0.851,
2008-07,0.869,
2008-10,0.882,
2009-01,0.907,
2009-04,0.912,
2009-07,0.931,
2009-10,0.987,
2010-01,0.987,
2010-04,0.970,
2010-07,0.573,
2010-10,0.465,
2011-01,0.708,
2011-04,0.793,
2011-07,0.846,
2011-10,0.855,
2012-01,0.842,
2012-04,0.830,
2012-07,0.797,
2012-10,0.792,
2013-01,0.778,
2013-04,0.807,
2013-07,0.819,
2013-10,0.814,
2014-01,0.812,
2014-04,0.822,
2014-07,0.828,
