"",BBSF2.M.1.T.00000.DGW01.I.F.SVB.Z5.00000.F33200.Z01.M1,BBSF2.M.1.T.00000.DGW01.I.F.SVB.Z5.00000.F33200.Z01.M1_FLAGS
"",Funds total / Funds-of-funds: Mixed securities funds / Long-term debt securities,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:47:40,
2009-09,99,
2009-10,108,
2009-11,114,
2009-12,115,
2010-01,139,
2010-02,144,
2010-03,104,
2010-04,90,
2010-05,73,
2010-06,97,
2010-07,166,
2010-08,186,
2010-09,164,
2010-10,150,
2010-11,149,
2010-12,130,
2011-01,101,
2011-02,87,
2011-03,84,
2011-04,89,
2011-05,72,
2011-06,65,
2011-07,62,
2011-08,61,
2011-09,60,
2011-10,60,
2011-11,60,
2011-12,54,
2012-01,104,
2012-02,56,
2012-03,100,
2012-04,100,
2012-05,97,
2012-06,192,
2012-07,167,
2012-08,196,
2012-09,188,
2012-10,123,
2012-11,125,
2012-12,106,
2013-01,125,
2013-02,125,
2013-03,123,
2013-04,124,
2013-05,130,
2013-06,128,
2013-07,125,
2013-08,121,
2013-09,71,
2013-10,71,
2013-11,72,
2013-12,71,
2014-01,72,
2014-02,73,
2014-03,79,
2014-04,80,
2014-05,81,
2014-06,82,
2014-07,80,
2014-08,78,
2014-09,77,
2014-10,90,
2014-11,76,
