"",BBNZ1.Q.DE.Y.K.0110.A,BBNZ1.Q.DE.Y.K.0110.A_FLAGS
"",Germany / National accounts / Use of GDP / Exports of goods and services / Contribution of growth to GDP / Calendar and seasonally adjusted,
unit,Prozent (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-25 17:37:56,
1991-01,.,No value available
1991-04,-1.3,
1991-07,0.9,
1991-10,0.1,
1992-01,0.3,
1992-04,-1.0,
1992-07,0.5,
1992-10,-1.0,
1993-01,-0.5,
1993-04,-0.4,
1993-07,0.0,
1993-10,0.5,
1994-01,0.6,
1994-04,1.1,
1994-07,-0.2,
1994-10,0.2,
1995-01,0.8,
1995-04,0.3,
1995-07,0.1,
1995-10,0.4,
1996-01,0.3,
1996-04,0.1,
1996-07,0.5,
1996-10,1.1,
1997-01,0.4,
1997-04,0.8,
1997-07,1.3,
1997-10,0.4,
1998-01,0.5,
1998-04,0.5,
1998-07,-0.3,
1998-10,-0.4,
1999-01,0.1,
1999-04,1.4,
1999-07,0.7,
1999-10,0.6,
2000-01,1.3,
2000-04,1.0,
2000-07,0.5,
2000-10,1.6,
2001-01,0.0,
2001-04,0.1,
2001-07,0.0,
2001-10,0.4,
2002-01,-0.1,
2002-04,1.0,
2002-07,0.6,
2002-10,0.6,
2003-01,-1.0,
2003-04,-0.1,
2003-07,1.0,
2003-10,0.8,
2004-01,1.4,
2004-04,1.5,
2004-07,-0.6,
2004-10,0.3,
2005-01,0.7,
2005-04,0.7,
2005-07,1.5,
2005-10,0.7,
2006-01,1.2,
2006-04,1.2,
2006-07,1.1,
2006-10,2.4,
2007-01,0.0,
2007-04,1.1,
2007-07,0.8,
2007-10,0.3,
2008-01,0.6,
2008-04,-0.1,
2008-07,-0.4,
2008-10,-2.6,
2009-01,-4.8,
2009-04,-0.3,
2009-07,1.4,
2009-10,1.2,
2010-01,1.2,
2010-04,2.8,
2010-07,0.7,
2010-10,1.0,
2011-01,0.9,
2011-04,0.6,
2011-07,0.5,
2011-10,0.0,
2012-01,0.7,
2012-04,0.6,
2012-07,0.5,
2012-10,-1.0,
2013-01,0.3,
2013-04,0.7,
2013-07,0.3,
2013-10,0.8,
2014-01,-0.2,
2014-04,0.5,
2014-07,0.9,
2014-10,0.6,
