"",BBK01.CEHD3Q,BBK01.CEHD3Q_FLAGS
"",Currency and transferable deposits (consolidated) debtor: Monetary financial institutions                    creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:14:43,
1991-01,-27.8,
1991-04,15.3,
1991-07,-17.4,
1991-10,32.1,
1992-01,-28.7,
1992-04,10.6,
1992-07,6.3,
1992-10,29.1,
1993-01,-22.9,
1993-04,17.5,
1993-07,9.1,
1993-10,43.6,
1994-01,-26.0,
1994-04,14.3,
1994-07,1.4,
1994-10,35.8,
1995-01,-31.7,
1995-04,13.7,
1995-07,4.2,
1995-10,47.3,
1996-01,-23.3,
1996-04,25.1,
1996-07,0.5,
1996-10,71.6,
1997-01,-20.5,
1997-04,19.1,
1997-07,-4.7,
1997-10,48.4,
1998-01,-2.3,
1998-04,32.9,
1998-07,-18.3,
1998-10,88.0,
1999-01,41.1,
1999-04,19.0,
1999-07,-8.3,
1999-10,-18.5,
2000-01,70.9,
2000-04,2.8,
2000-07,-7.6,
2000-10,13.8,
2001-01,46.1,
2001-04,5.9,
2001-07,-1.9,
2001-10,-45.5,
2002-01,11.3,
2002-04,63.3,
2002-07,20.2,
2002-10,13.1,
2003-01,52.4,
2003-04,54.1,
2003-07,7.2,
2003-10,-29.6,
2004-01,85.8,
2004-04,12.1,
2004-07,18.9,
2004-10,-59.0,
2005-01,121.8,
2005-04,37.0,
2005-07,6.6,
2005-10,-28.8,
2006-01,68.5,
2006-04,57.2,
2006-07,-13.1,
2006-10,29.4,
2007-01,40.8,
2007-04,60.3,
2007-07,13.4,
2007-10,-50.9,
2008-01,110.8,
2008-04,12.7,
2008-07,26.5,
2008-10,12.3,
2009-01,148.7,
2009-04,59.4,
2009-07,1.3,
2009-10,15.4,
2010-01,84.4,
2010-04,113.8,
2010-07,-40.4,
2010-10,-37.4,
2011-01,24.9,
2011-04,29.3,
2011-07,94.8,
2011-10,-14.9,
2012-01,143.9,
2012-04,106.9,
2012-07,79.3,
2012-10,-15.1,
2013-01,-30.1,
2013-04,42.9,
2013-07,22.7,
2013-10,-19.5,
2014-01,31.5,
