"",BBK01.OEAH67J,BBK01.OEAH67J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:25:18,
2002-01,5.268,
2002-04,5.137,
2002-07,5.143,
2002-10,5.325,
2003-01,5.400,
2003-04,5.384,
2003-07,5.404,
2003-10,5.495,
2004-01,5.498,
2004-04,5.506,
2004-07,5.974,
2004-10,5.751,
2005-01,6.077,
2005-04,6.122,
2005-07,6.100,
2005-10,6.241,
2006-01,6.256,
2006-04,6.236,
2006-07,6.190,
2006-10,6.192,
2007-01,6.089,
2007-04,6.048,
2007-07,5.934,
2007-10,5.990,
2008-01,5.830,
2008-04,5.632,
2008-07,5.424,
2008-10,5.641,
2009-01,5.757,
2009-04,5.712,
2009-07,5.739,
2009-10,5.717,
2010-01,5.637,
2010-04,5.571,
2010-07,5.504,
2010-10,5.537,
2011-01,5.534,
2011-04,5.494,
2011-07,5.441,
2011-10,5.479,
2012-01,5.540,
2012-04,5.552,
2012-07,5.505,
2012-10,5.539,
2013-01,5.500,
2013-04,5.460,
2013-07,5.453,
2013-10,5.529,
2014-01,5.327,
2014-04,5.307,
2014-07,5.307,
