"",BBFN1.M.DE.N.1.A.JP.S1P.H0.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.JP.S1P.H0.T.N000.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from trade credits / Total / Japan,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:26:44,
1994-07,.,No value available
1994-08,.,No value available
1994-09,.,No value available
1994-10,.,No value available
1994-11,.,No value available
1994-12,1.505,
1995-01,1.470,
1995-02,1.495,
1995-03,1.481,
1995-04,1.514,
1995-05,1.446,
1995-06,1.554,
1995-07,1.523,
1995-08,1.550,
1995-09,1.627,
1995-10,1.629,
1995-11,1.539,
1995-12,1.494,
1996-01,1.521,
1996-02,1.474,
1996-03,1.555,
1996-04,1.488,
1996-05,1.590,
1996-06,1.612,
1996-07,1.688,
1996-08,1.629,
1996-09,1.651,
1996-10,1.631,
1996-11,1.659,
1996-12,1.721,
1997-01,1.806,
1997-02,1.665,
1997-03,1.802,
1997-04,1.689,
1997-05,1.591,
1997-06,1.677,
1997-07,1.717,
1997-08,1.676,
1997-09,1.723,
1997-10,1.712,
1997-11,1.629,
1997-12,1.684,
1998-01,1.736,
1998-02,1.683,
1998-03,1.676,
1998-04,1.639,
1998-05,1.524,
1998-06,1.513,
1998-07,1.600,
1998-08,1.483,
1998-09,1.471,
1998-10,1.553,
1998-11,1.633,
1998-12,1.547,
1999-01,1.526,
1999-02,1.565,
1999-03,1.660,
1999-04,1.519,
1999-05,1.472,
1999-06,1.579,
1999-07,1.540,
1999-08,1.591,
1999-09,1.742,
1999-10,1.932,
1999-11,1.927,
1999-12,1.768,
2000-01,1.827,
2000-02,1.989,
2000-03,2.086,
2000-04,2.002,
2000-05,1.872,
2000-06,1.931,
2000-07,2.070,
2000-08,2.039,
2000-09,2.060,
2000-10,2.192,
2000-11,2.139,
2000-12,2.081,
2001-01,2.040,
2001-02,2.140,
2001-03,2.198,
2001-04,2.071,
2001-05,2.060,
2001-06,2.054,
2001-07,2.207,
2001-08,2.023,
2001-09,1.960,
2001-10,2.065,
2001-11,1.980,
2001-12,1.927,
2002-01,1.987,
2002-02,1.916,
2002-03,1.985,
2002-04,1.997,
2002-05,1.920,
2002-06,1.979,
2002-07,2.130,
2002-08,2.015,
2002-09,2.135,
2002-10,2.092,
2002-11,2.137,
2002-12,2.033,
2003-01,1.933,
2003-02,1.913,
2003-03,2.057,
2003-04,1.917,
2003-05,1.774,
2003-06,1.780,
2003-07,1.921,
2003-08,1.798,
2003-09,1.920,
2003-10,2.057,
2003-11,2.053,
2003-12,2.126,
2004-01,2.082,
2004-02,1.987,
2004-03,2.052,
2004-04,1.954,
2004-05,1.875,
2004-06,1.989,
2004-07,2.012,
2004-08,2.009,
2004-09,2.027,
2004-10,1.989,
2004-11,1.911,
2004-12,1.990,
2005-01,2.016,
2005-02,2.083,
2005-03,2.115,
2005-04,2.172,
2005-05,1.783,
2005-06,1.984,
2005-07,1.977,
2005-08,1.902,
2005-09,1.961,
2005-10,2.069,
2005-11,1.986,
2005-12,2.110,
2006-01,2.053,
2006-02,2.031,
2006-03,2.220,
2006-04,1.898,
2006-05,1.987,
2006-06,2.021,
2006-07,2.065,
2006-08,2.141,
2006-09,2.232,
2006-10,2.296,
2006-11,2.207,
2006-12,2.097,
2007-01,2.143,
2007-02,2.140,
2007-03,2.222,
2007-04,2.075,
2007-05,2.075,
2007-06,2.255,
2007-07,2.294,
2007-08,2.097,
2007-09,2.246,
2007-10,2.243,
2007-11,2.201,
2007-12,2.084,
2008-01,2.215,
2008-02,2.196,
2008-03,2.241,
2008-04,2.092,
2008-05,2.020,
2008-06,2.090,
2008-07,2.113,
2008-08,2.063,
2008-09,2.158,
2008-10,2.189,
2008-11,2.120,
2008-12,2.115,
2009-01,1.926,
2009-02,1.827,
2009-03,2.042,
2009-04,1.754,
2009-05,1.686,
2009-06,1.784,
2009-07,1.950,
2009-08,1.817,
2009-09,1.945,
2009-10,1.987,
2009-11,1.941,
2009-12,2.077,
2010-01,1.963,
2010-02,2.021,
2010-03,2.147,
2010-04,2.106,
2010-05,2.206,
2010-06,2.361,
2010-07,2.353,
2010-08,2.225,
2010-09,2.347,
2010-10,2.461,
2010-11,2.381,
2010-12,2.483,
2011-01,2.358,
2011-02,2.448,
2011-03,2.417,
2011-04,2.325,
2011-05,2.330,
2011-06,2.364,
2011-07,2.332,
2011-08,2.285,
2011-09,2.686,
2011-10,2.669,
2011-11,2.647,
2011-12,2.633,
2012-01,2.494,
2012-02,2.397,
2012-03,2.649,
2012-04,2.560,
2012-05,2.537,
2012-06,2.729,
2012-07,2.823,
2012-08,2.741,
2012-09,2.755,
2012-10,2.788,
2012-11,2.721,
2012-12,2.715,
2013-01,2.433,
2013-02,2.454,
2013-03,2.673,
2013-04,2.584,
2013-05,2.410,
2013-06,2.613,
2013-07,2.682,
2013-08,2.817,
2013-09,2.850,
2013-10,2.967,
2013-11,3.025,
2013-12,2.921,
2014-01,2.918,
2014-02,2.867,
2014-03,2.908,
2014-04,2.879,
2014-05,2.753,
2014-06,2.848,
2014-07,2.999,
2014-08,3.001,
2014-09,3.179,
2014-10,3.374,
2014-11,3.121,
2014-12,3.298,
