"",BBSF2.M.1.S.00000.GEM01.I.F.MAK.Z5.00000.000000.Z01.00,BBSF2.M.1.S.00000.GEM01.I.F.MAK.Z5.00000.000000.Z01.00_FLAGS
"",Special investors funds / Mixed securities funds / Net sales receipts,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:50:38,
1993-01,.,No value available
1993-02,.,No value available
1993-03,.,No value available
1993-04,536,
1993-05,110,
1993-06,440,
1993-07,637,
1993-08,354,
1993-09,214,
1993-10,907,
1993-11,644,
1993-12,2208,
1994-01,1949,
1994-02,1528,
1994-03,717,
1994-04,2398,
1994-05,943,
1994-06,633,
1994-07,925,
1994-08,552,
1994-09,-474,
1994-10,1512,
1994-11,-645,
1994-12,2248,
1995-01,1869,
1995-02,981,
1995-03,466,
1995-04,493,
1995-05,237,
1995-06,38,
1995-07,484,
1995-08,415,
1995-09,1448,
1995-10,99,
1995-11,1367,
1995-12,3296,
1996-01,2493,
1996-02,2756,
1996-03,1563,
1996-04,1289,
1996-05,759,
1996-06,1547,
1996-07,1348,
1996-08,1038,
1996-09,319,
1996-10,1764,
1996-11,1012,
1996-12,3646,
1997-01,3195,
1997-02,3094,
1997-03,2038,
1997-04,1837,
1997-05,933,
1997-06,3253,
1997-07,3398,
1997-08,3487,
1997-09,2102,
1997-10,2803,
1997-11,583,
1997-12,7886,
1998-01,6167,
1998-02,3621,
1998-03,3465,
1998-04,2745,
1998-05,2533,
1998-06,1914,
1998-07,4240,
1998-08,3720,
1998-09,3913,
1998-10,2305,
1998-11,1772,
1998-12,8269,
1999-01,3988,
1999-02,2391,
1999-03,2530,
1999-04,3233,
1999-05,3730,
1999-06,2485,
1999-07,2456,
1999-08,2629,
1999-09,327,
1999-10,1761,
1999-11,797,
1999-12,8214,
2000-01,5436,
2000-02,-1033,
2000-03,1959,
2000-04,272,
2000-05,1836,
2000-06,-996,
2000-07,1853,
2000-08,1692,
2000-09,2949,
2000-10,1091,
2000-11,1130,
2000-12,8503,
2001-01,4098,
2001-02,3745,
2001-03,818,
2001-04,-140,
2001-05,901,
2001-06,608,
2001-07,1918,
2001-08,1240,
2001-09,-356,
2001-10,3281,
2001-11,863,
2001-12,5157,
2002-01,1791,
2002-02,1284,
2002-03,-1752,
2002-04,3270,
2002-05,1247,
2002-06,3224,
2002-07,1621,
2002-08,862,
2002-09,959,
2002-10,604,
2002-11,2207,
2002-12,122,
2003-01,2976,
2003-02,-610,
2003-03,3229,
2003-04,1888,
2003-05,2497,
2003-06,1315,
2003-07,-891,
2003-08,308,
2003-09,2538,
2003-10,1040,
2003-11,-1858,
2003-12,4720,
2004-01,3606,
2004-02,-1051,
2004-03,1190,
2004-04,1686,
2004-05,-787,
2004-06,1526,
2004-07,-28,
2004-08,-93,
2004-09,-1252,
2004-10,330,
2004-11,-335,
2004-12,554,
2005-01,1699,
2005-02,1321,
2005-03,429,
2005-04,1173,
2005-05,-1218,
2005-06,2782,
2005-07,395,
2005-08,2454,
2005-09,-951,
2005-10,3103,
2005-11,119,
2005-12,4961,
2006-01,1428,
2006-02,2839,
2006-03,1121,
2006-04,339,
2006-05,885,
2006-06,-262,
2006-07,3383,
2006-08,5415,
2006-09,1036,
2006-10,-346,
2006-11,1407,
2006-12,5362,
2007-01,1146,
2007-02,537,
2007-03,411,
2007-04,1989,
2007-05,-663,
2007-06,470,
2007-07,-1518,
2007-08,-1028,
2007-09,-642,
2007-10,-1081,
2007-11,1903,
2007-12,1710,
2008-01,-889,
2008-02,1202,
2008-03,1159,
2008-04,-295,
2008-05,-1402,
2008-06,552,
2008-07,-7616,
2008-08,1400,
2008-09,1834,
2008-10,-5135,
2008-11,844,
2008-12,-2550,
2009-01,-793,
2009-02,-1622,
2009-03,-619,
2009-04,-885,
2009-05,-4066,
2009-06,-1385,
2009-07,-2637,
2009-08,-488,
2009-09,1290,
2009-10,5440,
2009-11,-211,
2009-12,-376,
2010-01,-579,
2010-02,606,
2010-03,909,
2010-04,2597,
2010-05,1274,
2010-06,3714,
2010-07,2098,
2010-08,1580,
2010-09,-15,
2010-10,2576,
2010-11,1620,
2010-12,3637,
2011-01,2432,
2011-02,3225,
2011-03,816,
2011-04,115,
2011-05,-688,
2011-06,179,
2011-07,260,
2011-08,-580,
2011-09,-798,
2011-10,-137,
2011-11,2217,
2011-12,640,
2012-01,-4138,
2012-02,4916,
2012-03,485,
2012-04,1967,
2012-05,142,
2012-06,1132,
2012-07,475,
2012-08,665,
2012-09,2077,
2012-10,1675,
2012-11,2859,
2012-12,6199,
2013-01,1698,
2013-02,4621,
2013-03,4155,
2013-04,1208,
2013-05,2032,
2013-06,2472,
2013-07,2465,
2013-08,1448,
2013-09,193,
2013-10,319,
2013-11,1279,
2013-12,5552,
2014-01,-144,
2014-02,1395,
2014-03,1300,
2014-04,588,
2014-05,1640,
2014-06,365,
2014-07,3457,
2014-08,3382,
2014-09,1877,
2014-10,1455,
2014-11,1824,
