"",BBK01.OEHM03H,BBK01.OEHM03H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:41:35,
2002-01,1.619,
2002-04,1.509,
2002-07,1.520,
2002-10,1.556,
2003-01,1.328,
2003-04,1.229,
2003-07,1.271,
2003-10,1.398,
2004-01,1.184,
2004-04,1.178,
2004-07,1.142,
2004-10,1.327,
2005-01,1.125,
2005-04,1.064,
2005-07,1.153,
2005-10,1.281,
2006-01,1.222,
2006-04,1.315,
2006-07,1.670,
2006-10,1.797,
2007-01,1.818,
2007-04,2.066,
2007-07,2.359,
2007-10,2.309,
2008-01,2.421,
2008-04,2.610,
2008-07,2.885,
2008-10,2.930,
2009-01,2.258,
2009-04,1.799,
2009-07,1.535,
2009-10,1.253,
2010-01,1.071,
2010-04,1.019,
2010-07,1.032,
2010-10,1.113,
2011-01,1.008,
2011-04,1.102,
2011-07,1.292,
2011-10,1.610,
2012-01,1.266,
2012-04,1.046,
2012-07,1.069,
2012-10,0.763,
2013-01,0.778,
2013-04,0.549,
2013-07,0.594,
2013-10,0.595,
2014-01,0.552,
2014-04,0.564,
2014-07,0.718,
