"",BBK01.OEAA19R,BBK01.OEAA19R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:19:39,
2002-01,1.280,
2002-04,1.296,
2002-07,1.362,
2002-10,1.389,
2003-01,1.396,
2003-04,1.323,
2003-07,1.279,
2003-10,1.203,
2004-01,1.230,
2004-04,1.278,
2004-07,1.286,
2004-10,1.218,
2005-01,1.134,
2005-04,1.181,
2005-07,1.098,
2005-10,1.004,
2006-01,0.935,
2006-04,0.934,
2006-07,0.849,
2006-10,0.815,
2007-01,0.844,
2007-04,0.846,
2007-07,0.794,
2007-10,0.759,
2008-01,1.005,
2008-04,0.717,
2008-07,0.723,
2008-10,0.745,
2009-01,0.765,
2009-04,0.772,
2009-07,0.795,
2009-10,0.759,
2010-01,0.727,
2010-04,0.748,
2010-07,0.668,
2010-10,0.606,
2011-01,0.656,
2011-04,0.658,
2011-07,0.611,
2011-10,0.632,
2012-01,0.620,
2012-04,0.675,
2012-07,0.649,
2012-10,0.652,
2013-01,0.706,
2013-04,0.685,
2013-07,0.643,
2013-10,0.634,
2014-01,0.666,
2014-04,0.698,
2014-07,0.645,
