"",BBK01.OEAO05O,BBK01.OEAO05O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:14:30,
2002-01,0.108,
2002-04,0.064,
2002-07,0.071,
2002-10,0.155,
2003-01,0.101,
2003-04,0.059,
2003-07,0.067,
2003-10,0.049,
2004-01,0.088,
2004-04,0.049,
2004-07,0.049,
2004-10,-0.030,
2005-01,0.093,
2005-04,0.069,
2005-07,0.070,
2005-10,0.571,
2006-01,0.100,
2006-04,0.056,
2006-07,0.061,
2006-10,0.509,
2007-01,0.099,
2007-04,0.076,
2007-07,0.071,
2007-10,0.513,
2008-01,0.079,
2008-04,0.068,
2008-07,0.077,
2008-10,0.485,
2009-01,0.087,
2009-04,0.057,
2009-07,0.072,
2009-10,0.454,
2010-01,0.069,
2010-04,0.056,
2010-07,0.069,
2010-10,0.400,
2011-01,0.073,
2011-04,0.061,
2011-07,0.063,
2011-10,0.365,
2012-01,0.073,
2012-04,0.053,
2012-07,0.065,
2012-10,0.334,
2013-01,0.063,
2013-04,0.045,
2013-07,0.049,
2013-10,0.259,
2014-01,0.053,
2014-04,0.044,
2014-07,0.049,
