"",BBK01.OEAD02U,BBK01.OEAD02U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:01:29,
2002-01,0.050,
2002-04,0.052,
2002-07,0.055,
2002-10,0.055,
2003-01,0.051,
2003-04,0.050,
2003-07,0.046,
2003-10,0.046,
2004-01,0.041,
2004-04,0.040,
2004-07,0.042,
2004-10,0.039,
2005-01,0.041,
2005-04,0.044,
2005-07,0.045,
2005-10,0.045,
2006-01,0.048,
2006-04,0.042,
2006-07,0.037,
2006-10,0.043,
2007-01,0.042,
2007-04,0.046,
2007-07,0.048,
2007-10,0.055,
2008-01,0.056,
2008-04,0.060,
2008-07,0.061,
2008-10,0.047,
2009-01,0.050,
2009-04,0.049,
2009-07,0.053,
2009-10,0.055,
2010-01,0.061,
2010-04,0.058,
2010-07,0.063,
2010-10,0.057,
2011-01,0.076,
2011-04,0.084,
2011-07,0.083,
2011-10,0.086,
2012-01,0.088,
2012-04,0.098,
2012-07,0.101,
2012-10,0.075,
2013-01,0.080,
2013-04,0.077,
2013-07,0.086,
2013-10,0.087,
2014-01,0.081,
2014-04,0.086,
2014-07,0.093,
