"",BBK01.OEAH16U,BBK01.OEAH16U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:31:17,
2002-01,7.874,
2002-04,8.129,
2002-07,8.264,
2002-10,8.742,
2003-01,8.383,
2003-04,8.499,
2003-07,8.574,
2003-10,8.911,
2004-01,8.702,
2004-04,8.824,
2004-07,8.936,
2004-10,9.263,
2005-01,9.233,
2005-04,9.302,
2005-07,9.363,
2005-10,9.871,
2006-01,9.501,
2006-04,9.422,
2006-07,9.481,
2006-10,9.807,
2007-01,9.418,
2007-04,9.797,
2007-07,9.744,
2007-10,10.212,
2008-01,9.774,
2008-04,9.694,
2008-07,9.826,
2008-10,10.998,
2009-01,11.527,
2009-04,12.086,
2009-07,13.150,
2009-10,13.750,
2010-01,13.758,
2010-04,13.880,
2010-07,14.358,
2010-10,14.877,
2011-01,14.488,
2011-04,14.450,
2011-07,14.882,
2011-10,15.176,
2012-01,14.648,
2012-04,14.827,
2012-07,15.083,
2012-10,15.686,
2013-01,15.497,
2013-04,15.882,
2013-07,16.166,
2013-10,16.862,
2014-01,16.584,
2014-04,16.731,
2014-07,17.423,
