"",BBK01.OEXM03N,BBK01.OEXM03N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:43:43,
2002-01,1.200,
2002-04,1.229,
2002-07,1.296,
2002-10,1.141,
2003-01,0.922,
2003-04,0.938,
2003-07,0.755,
2003-10,0.875,
2004-01,0.707,
2004-04,0.628,
2004-07,0.237,
2004-10,0.276,
2005-01,0.284,
2005-04,0.244,
2005-07,0.204,
2005-10,0.294,
2006-01,0.359,
2006-04,0.359,
2006-07,0.428,
2006-10,0.257,
2007-01,0.298,
2007-04,0.298,
2007-07,0.332,
2007-10,0.310,
2008-01,0.560,
2008-04,0.686,
2008-07,0.974,
2008-10,1.260,
2009-01,1.495,
2009-04,1.448,
2009-07,1.171,
2009-10,1.717,
2010-01,1.216,
2010-04,1.725,
2010-07,2.261,
2010-10,2.386,
2011-01,2.691,
2011-04,2.795,
2011-07,3.582,
2011-10,3.035,
2012-01,3.120,
2012-04,3.342,
2012-07,3.326,
2012-10,7.980,
2013-01,6.088,
2013-04,4.817,
2013-07,5.464,
2013-10,5.259,
2014-01,4.336,
2014-04,4.397,
2014-07,3.489,
