"",BBK01.OXZ8Z3A,BBK01.OXZ8Z3A_FLAGS
"","Derivative financial instruments in the trading portfolio, (included in other liabilities), All categories of banks",
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 10:56:26,
2010-01,-,Nothing exists
2010-02,-,Nothing exists
2010-03,-,Nothing exists
2010-04,-,Nothing exists
2010-05,-,Nothing exists
2010-06,-,Nothing exists
2010-07,-,Nothing exists
2010-08,-,Nothing exists
2010-09,-,Nothing exists
2010-10,-,Nothing exists
2010-11,-,Nothing exists
2010-12,1476.088,
2011-01,1215.249,
2011-02,1147.806,
2011-03,1062.591,
2011-04,1079.807,
2011-05,1135.848,
2011-06,1030.033,
2011-07,1206.298,
2011-08,1428.186,
2011-09,1681.753,
2011-10,1458.093,
2011-11,1457.273,
2011-12,1558.793,
2012-01,1539.725,
2012-02,1487.557,
2012-03,1385.856,
2012-04,1448.581,
2012-05,1794.636,
2012-06,1600.057,
2012-07,1655.740,
2012-08,1591.584,
2012-09,1519.313,
2012-10,1441.253,
2012-11,1401.465,
2012-12,1369.836,
2013-01,1263.821,
2013-02,1270.180,
2013-03,1253.481,
2013-04,1271.207,
2013-05,1156.666,
2013-06,1055.588,
2013-07,1019.533,
2013-08,981.663,
2013-09,969.831,
2013-10,969.891,
2013-11,957.325,
2013-12,863.260,
2014-01,900.698,
2014-02,867.104,
2014-03,828.561,
2014-04,830.066,
2014-05,870.013,
2014-06,826.650,
2014-07,842.638,
2014-08,904.602,
2014-09,945.895,
2014-10,946.738,
2014-11,970.223,
