"",BBK01.OEAD02K,BBK01.OEAD02K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:58:31,
2002-01,0.455,
2002-04,0.427,
2002-07,0.492,
2002-10,0.384,
2003-01,0.470,
2003-04,0.407,
2003-07,0.353,
2003-10,0.360,
2004-01,0.477,
2004-04,0.436,
2004-07,0.592,
2004-10,0.455,
2005-01,0.459,
2005-04,0.497,
2005-07,0.404,
2005-10,0.475,
2006-01,0.447,
2006-04,0.480,
2006-07,0.475,
2006-10,0.461,
2007-01,0.362,
2007-04,0.367,
2007-07,0.341,
2007-10,0.347,
2008-01,0.478,
2008-04,0.530,
2008-07,0.600,
2008-10,0.549,
2009-01,0.525,
2009-04,0.527,
2009-07,0.618,
2009-10,0.588,
2010-01,0.495,
2010-04,0.496,
2010-07,0.546,
2010-10,0.528,
2011-01,0.533,
2011-04,0.558,
2011-07,0.542,
2011-10,0.597,
2012-01,0.614,
2012-04,0.677,
2012-07,0.642,
2012-10,0.674,
2013-01,0.633,
2013-04,0.643,
2013-07,0.603,
2013-10,0.631,
2014-01,0.603,
2014-04,0.602,
2014-07,0.645,
