"",BBSF2.M.1.T.00000.AKT01.I.F.SVB.Z5.00000.F33200.Z01.M1,BBSF2.M.1.T.00000.AKT01.I.F.SVB.Z5.00000.F33200.Z01.M1_FLAGS
"",Funds total / Equity funds / Long-term debt securities,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:38:19,
2009-09,21499,
2009-10,21511,
2009-11,20788,
2009-12,21194,
2010-01,19715,
2010-02,19326,
2010-03,19540,
2010-04,19534,
2010-05,19483,
2010-06,19538,
2010-07,19658,
2010-08,20038,
2010-09,18981,
2010-10,19686,
2010-11,19375,
2010-12,18768,
2011-01,17724,
2011-02,18105,
2011-03,18342,
2011-04,18327,
2011-05,18545,
2011-06,18502,
2011-07,18448,
2011-08,18245,
2011-09,18003,
2011-10,17536,
2011-11,17376,
2011-12,18172,
2012-01,19118,
2012-02,19632,
2012-03,19522,
2012-04,19469,
2012-05,19568,
2012-06,19378,
2012-07,19857,
2012-08,19486,
2012-09,19427,
2012-10,19560,
2012-11,20080,
2012-12,20465,
2013-01,20413,
2013-02,20562,
2013-03,21204,
2013-04,21907,
2013-05,21819,
2013-06,21517,
2013-07,21602,
2013-08,21882,
2013-09,21907,
2013-10,22038,
2013-11,21887,
2013-12,21428,
2014-01,22016,
2014-02,22203,
2014-03,22241,
2014-04,26649,
2014-05,26946,
2014-06,26959,
2014-07,27384,
2014-08,27848,
2014-09,27902,
2014-10,22932,
2014-11,23009,
