"",BBK01.OEAE06J,BBK01.OEAE06J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:03:34,
2002-01,0.959,
2002-04,1.118,
2002-07,1.136,
2002-10,1.120,
2003-01,1.133,
2003-04,1.151,
2003-07,1.142,
2003-10,0.992,
2004-01,0.947,
2004-04,0.959,
2004-07,0.935,
2004-10,0.921,
2005-01,0.906,
2005-04,0.900,
2005-07,0.881,
2005-10,0.917,
2006-01,0.910,
2006-04,0.876,
2006-07,0.858,
2006-10,0.879,
2007-01,0.867,
2007-04,0.832,
2007-07,0.842,
2007-10,0.785,
2008-01,0.789,
2008-04,0.759,
2008-07,0.764,
2008-10,0.730,
2009-01,0.717,
2009-04,0.695,
2009-07,0.681,
2009-10,0.810,
2010-01,0.275,
2010-04,0.658,
2010-07,0.654,
2010-10,0.700,
2011-01,0.661,
2011-04,0.674,
2011-07,0.699,
2011-10,0.683,
2012-01,0.713,
2012-04,0.726,
2012-07,0.747,
2012-10,0.756,
2013-01,0.706,
2013-04,0.736,
2013-07,0.758,
2013-10,0.731,
2014-01,0.747,
2014-04,0.757,
2014-07,0.751,
