"",BBK01.QUK840,BBK01.QUK840_FLAGS
"",Consolidated German banks: Loans and advances to foreign enterprises and households / Portugal / All currencies,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-02 08:31:09,
2002-03,5.164,
2002-04,5.200,
2002-05,5.368,
2002-06,5.198,
2002-07,5.871,
2002-08,5.626,
2002-09,5.665,
2002-10,5.808,
2002-11,5.843,
2002-12,5.676,
2003-01,6.130,
2003-02,5.918,
2003-03,5.699,
2003-04,5.579,
2003-05,5.615,
2003-06,5.645,
2003-07,5.776,
2003-08,6.017,
2003-09,6.074,
2003-10,5.850,
2003-11,5.825,
2003-12,5.262,
2004-01,5.256,
2004-02,5.098,
2004-03,5.131,
2004-04,4.930,
2004-05,5.138,
2004-06,5.246,
2004-07,5.174,
2004-08,5.024,
2004-09,5.249,
2004-10,5.176,
2004-11,5.228,
2004-12,5.419,
2005-01,5.482,
2005-02,5.675,
2005-03,5.739,
2005-04,5.516,
2005-05,5.442,
2005-06,5.477,
2005-07,5.408,
2005-08,5.132,
2005-09,5.200,
2005-10,5.275,
2005-11,5.671,
2005-12,5.626,
2006-01,5.550,
2006-02,5.637,
2006-03,5.537,
2006-04,6.078,
2006-05,5.563,
2006-06,4.965,
2006-07,4.904,
2006-08,4.981,
2006-09,5.113,
2006-10,5.193,
2006-11,5.121,
2006-12,5.969,
2007-01,6.070,
2007-02,5.864,
2007-03,6.179,
2007-04,6.221,
2007-05,6.022,
2007-06,6.242,
2007-07,6.169,
2007-08,6.413,
2007-09,6.652,
2007-10,6.602,
2007-11,6.347,
2007-12,6.359,
2008-01,7.303,
2008-02,7.268,
2008-03,7.337,
2008-04,7.476,
2008-05,7.582,
2008-06,7.583,
2008-07,7.687,
2008-08,7.107,
2008-09,7.229,
2008-10,7.313,
2008-11,7.312,
2008-12,7.321,
2009-01,7.383,
2009-02,7.248,
2009-03,7.197,
2009-04,6.974,
2009-05,7.220,
2009-06,7.262,
2009-07,7.512,
2009-08,7.361,
2009-09,7.218,
2009-10,7.317,
2009-11,7.333,
2009-12,7.466,
2010-01,7.456,
2010-02,7.333,
2010-03,7.402,
2010-04,7.474,
2010-05,7.432,
2010-06,7.699,
2010-07,7.506,
2010-08,7.281,
2010-09,7.403,
2010-10,7.386,
2010-11,7.427,
2010-12,7.442,
2011-01,7.488,
2011-02,7.648,
2011-03,7.733,
2011-04,7.763,
2011-05,7.820,
2011-06,7.849,
2011-07,7.865,
2011-08,7.537,
2011-09,7.619,
2011-10,7.641,
2011-11,7.667,
2011-12,7.573,
2012-01,7.402,
2012-02,7.213,
2012-03,7.296,
2012-04,7.173,
2012-05,7.239,
2012-06,7.257,
2012-07,7.234,
2012-08,7.097,
2012-09,7.090,
2012-10,6.733,
2012-11,6.659,
2012-12,6.610,
2013-01,6.528,
2013-02,6.522,
2013-03,6.446,
2013-04,6.421,
2013-05,6.376,
2013-06,6.370,
2013-07,6.385,
2013-08,6.383,
2013-09,6.314,
2013-10,6.168,
2013-11,6.101,
2013-12,6.158,
2014-01,6.091,
2014-02,6.041,
2014-03,5.989,
2014-04,5.930,
2014-05,6.107,
2014-06,5.908,
2014-07,5.804,
2014-08,5.612,
2014-09,5.692,
2014-10,5.660,
