"",BBK01.OEHB06V,BBK01.OEHB06V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:42:41,
2002-01,2.042,
2002-04,2.098,
2002-07,2.152,
2002-10,2.096,
2003-01,2.111,
2003-04,2.201,
2003-07,2.212,
2003-10,2.169,
2004-01,2.116,
2004-04,2.090,
2004-07,1.947,
2004-10,1.838,
2005-01,1.923,
2005-04,1.822,
2005-07,1.698,
2005-10,1.768,
2006-01,1.714,
2006-04,1.580,
2006-07,1.498,
2006-10,1.500,
2007-01,1.483,
2007-04,1.459,
2007-07,1.449,
2007-10,1.443,
2008-01,1.386,
2008-04,1.339,
2008-07,1.363,
2008-10,1.287,
2009-01,1.319,
2009-04,1.425,
2009-07,1.316,
2009-10,1.242,
2010-01,1.186,
2010-04,1.090,
2010-07,1.092,
2010-10,1.083,
2011-01,1.043,
2011-04,1.091,
2011-07,1.078,
2011-10,1.033,
2012-01,1.043,
2012-04,1.039,
2012-07,0.932,
2012-10,0.894,
2013-01,0.873,
2013-04,0.859,
2013-07,0.851,
2013-10,0.811,
2014-01,0.792,
2014-04,0.799,
2014-07,0.804,
