"",BBK01.OECL02H,BBK01.OECL02H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:15:25,
2002-01,6.610,
2002-04,7.376,
2002-07,6.665,
2002-10,6.840,
2003-01,6.632,
2003-04,6.692,
2003-07,7.924,
2003-10,7.027,
2004-01,6.772,
2004-04,7.424,
2004-07,7.208,
2004-10,7.478,
2005-01,9.754,
2005-04,9.882,
2005-07,9.815,
2005-10,10.195,
2006-01,10.115,
2006-04,10.150,
2006-07,9.749,
2006-10,10.078,
2007-01,10.113,
2007-04,11.037,
2007-07,10.831,
2007-10,11.260,
2008-01,11.015,
2008-04,10.995,
2008-07,11.197,
2008-10,13.129,
2009-01,14.518,
2009-04,14.838,
2009-07,14.619,
2009-10,14.750,
2010-01,15.030,
2010-04,15.733,
2010-07,15.654,
2010-10,15.979,
2011-01,15.878,
2011-04,15.881,
2011-07,15.776,
2011-10,15.836,
2012-01,15.913,
2012-04,16.680,
2012-07,17.252,
2012-10,17.626,
2013-01,17.790,
2013-04,18.603,
2013-07,18.148,
2013-10,18.794,
2014-01,18.700,
2014-04,19.393,
2014-07,19.390,
