"",BBK01.OECB02L,BBK01.OECB02L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:30:25,
2002-01,84.856,
2002-04,76.279,
2002-07,79.820,
2002-10,66.555,
2003-01,85.619,
2003-04,91.742,
2003-07,97.764,
2003-10,97.791,
2004-01,118.697,
2004-04,106.693,
2004-07,122.767,
2004-10,117.842,
2005-01,119.687,
2005-04,119.472,
2005-07,125.389,
2005-10,113.757,
2006-01,117.587,
2006-04,124.260,
2006-07,131.980,
2006-10,107.591,
2007-01,129.204,
2007-04,137.427,
2007-07,119.475,
2007-10,98.103,
2008-01,131.585,
2008-04,94.867,
2008-07,95.261,
2008-10,66.781,
2009-01,70.585,
2009-04,81.572,
2009-07,77.434,
2009-10,66.861,
2010-01,66.039,
2010-04,73.918,
2010-07,61.996,
2010-10,71.552,
2011-01,72.522,
2011-04,78.369,
2011-07,77.485,
2011-10,61.667,
2012-01,75.628,
2012-04,71.545,
2012-07,74.297,
2012-10,70.703,
2013-01,79.336,
2013-04,88.783,
2013-07,50.695,
2013-10,51.478,
2014-01,53.136,
2014-04,56.712,
2014-07,58.482,
