"",BBK01.OECK01K,BBK01.OECK01K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:08:37,
2002-01,0.670,
2002-04,0.746,
2002-07,0.782,
2002-10,0.915,
2003-01,0.799,
2003-04,0.721,
2003-07,0.737,
2003-10,0.627,
2004-01,0.653,
2004-04,0.654,
2004-07,0.654,
2004-10,1.846,
2005-01,1.759,
2005-04,1.766,
2005-07,1.800,
2005-10,1.462,
2006-01,1.303,
2006-04,1.300,
2006-07,1.398,
2006-10,1.341,
2007-01,1.385,
2007-04,1.468,
2007-07,1.644,
2007-10,1.950,
2008-01,1.696,
2008-04,1.697,
2008-07,1.727,
2008-10,1.636,
2009-01,1.589,
2009-04,2.148,
2009-07,2.094,
2009-10,2.046,
2010-01,2.041,
2010-04,2.098,
2010-07,2.108,
2010-10,2.112,
2011-01,2.083,
2011-04,2.448,
2011-07,2.011,
2011-10,2.053,
2012-01,2.230,
2012-04,2.236,
2012-07,2.087,
2012-10,2.094,
2013-01,2.234,
2013-04,2.316,
2013-07,2.544,
2013-10,2.787,
2014-01,2.820,
2014-04,2.734,
2014-07,2.725,
