"",BBFB1.Q.N.DE.HK.S1.S1.T.L.FA._T.F._Z._T._X.N,BBFB1.Q.N.DE.HK.S1.S1.T.L.FA._T.F._Z._T._X.N_FLAGS
"","Financial account / Net foreign financial investment in the reporting country / Hong Kong, China",
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:47:55,
1991-01,-380.090,
1991-04,-202.041,
1991-07,217.964,
1991-10,-47.408,
1992-01,311.461,
1992-04,336.522,
1992-07,46.983,
1992-10,443.606,
1993-01,-297.689,
1993-04,632.772,
1993-07,2.750,
1993-10,-166.540,
1994-01,529.878,
1994-04,1372.816,
1994-07,828.190,
1994-10,-104.773,
1995-01,-284.432,
1995-04,810.348,
1995-07,-205.041,
1995-10,-325.965,
1996-01,1580.130,
1996-04,589.505,
1996-07,162.940,
1996-10,-619.295,
1997-01,201.331,
1997-04,1307.925,
1997-07,309.504,
1997-10,499.187,
1998-01,427.917,
1998-04,2261.742,
1998-07,783.886,
1998-10,255.665,
1999-01,665.462,
1999-04,1257.125,
1999-07,407.874,
1999-10,4652.519,
2000-01,-711.106,
2000-04,1828.203,
2000-07,443.186,
2000-10,-470.803,
2001-01,1882.114,
2001-04,-2.361,
2001-07,82.736,
2001-10,2759.299,
2002-01,29.785,
2002-04,431.081,
2002-07,-738.400,
2002-10,-2340.050,
2003-01,-117.206,
2003-04,25.182,
2003-07,-2775.045,
2003-10,-861.256,
2004-01,-87.539,
2004-04,-718.437,
2004-07,902.156,
2004-10,-46.540,
2005-01,-203.563,
2005-04,957.381,
2005-07,951.354,
2005-10,337.443,
2006-01,-442.848,
2006-04,-1422.551,
2006-07,2151.346,
2006-10,108.824,
2007-01,-860.692,
2007-04,2873.685,
2007-07,1494.983,
2007-10,4055.814,
2008-01,-3501.685,
2008-04,1048.201,
2008-07,1636.437,
2008-10,4150.621,
2009-01,1206.704,
2009-04,1340.178,
2009-07,532.138,
2009-10,1924.737,
2010-01,-252.662,
2010-04,139.970,
2010-07,-1500.278,
2010-10,2320.944,
2011-01,-271.490,
2011-04,-324.843,
2011-07,-421.851,
2011-10,4005.273,
2012-01,-2131.207,
2012-04,2335.879,
2012-07,3097.342,
2012-10,-1114.855,
2013-01,-2855.181,
2013-04,-1525.856,
2013-07,200.791,
2013-10,-299.366,
2014-01,739.605,Provisional value
2014-04,313.777,Provisional value
2014-07,259.436,Provisional value
2014-10,4311.351,Provisional value
