"",BBFN1.M.DE.N.1.A.S1.S1P.H0.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.S1.S1P.H0.T.N000.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from trade credits / Total / Countries in Asia,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:24:36,
1995-01,12.183,
1995-02,11.887,
1995-03,12.038,
1995-04,12.016,
1995-05,12.142,
1995-06,12.318,
1995-07,12.876,
1995-08,12.965,
1995-09,13.050,
1995-10,12.957,
1995-11,13.116,
1995-12,13.488,
1996-01,13.095,
1996-02,13.404,
1996-03,13.635,
1996-04,13.800,
1996-05,13.915,
1996-06,14.251,
1996-07,14.463,
1996-08,14.187,
1996-09,14.071,
1996-10,14.483,
1996-11,14.631,
1996-12,14.652,
1997-01,14.456,
1997-02,14.402,
1997-03,14.811,
1997-04,14.836,
1997-05,15.102,
1997-06,15.349,
1997-07,15.495,
1997-08,15.475,
1997-09,15.664,
1997-10,15.784,
1997-11,15.560,
1997-12,16.086,
1998-01,15.496,
1998-02,15.887,
1998-03,15.504,
1998-04,15.470,
1998-05,15.256,
1998-06,14.887,
1998-07,15.131,
1998-08,14.573,
1998-09,14.431,
1998-10,14.660,
1998-11,14.781,
1998-12,14.609,
1999-01,14.102,
1999-02,14.382,
1999-03,14.811,
1999-04,13.702,
1999-05,14.844,
1999-06,15.352,
1999-07,15.205,
1999-08,15.325,
1999-09,15.737,
1999-10,16.301,
1999-11,16.456,
1999-12,16.317,
2000-01,16.319,
2000-02,16.330,
2000-03,16.950,
2000-04,16.959,
2000-05,17.107,
2000-06,17.127,
2000-07,17.440,
2000-08,17.654,
2000-09,18.105,
2000-10,18.417,
2000-11,18.280,
2000-12,18.376,
2001-01,18.144,
2001-02,18.118,
2001-03,18.183,
2001-04,18.271,
2001-05,17.854,
2001-06,18.845,
2001-07,17.964,
2001-08,17.849,
2001-09,18.404,
2001-10,18.327,
2001-11,18.411,
2001-12,17.729,
2002-01,16.744,
2002-02,17.158,
2002-03,17.317,
2002-04,17.464,
2002-05,17.802,
2002-06,18.154,
2002-07,18.284,
2002-08,17.888,
2002-09,18.178,
2002-10,18.198,
2002-11,18.819,
2002-12,18.650,
2003-01,18.348,
2003-02,18.031,
2003-03,18.125,
2003-04,18.231,
2003-05,17.917,
2003-06,17.639,
2003-07,18.302,
2003-08,18.273,
2003-09,18.188,
2003-10,18.564,
2003-11,18.923,
2003-12,18.857,
2004-01,18.126,
2004-02,18.007,
2004-03,18.307,
2004-04,18.562,
2004-05,18.918,
2004-06,19.003,
2004-07,19.176,
2004-08,18.915,
2004-09,19.118,
2004-10,19.336,
2004-11,19.180,
2004-12,18.919,
2005-01,18.239,
2005-02,18.539,
2005-03,19.091,
2005-04,19.382,
2005-05,19.391,
2005-06,19.916,
2005-07,20.003,
2005-08,19.920,
2005-09,20.312,
2005-10,20.559,
2005-11,20.947,
2005-12,20.946,
2006-01,20.512,
2006-02,20.722,
2006-03,21.300,
2006-04,21.061,
2006-05,21.619,
2006-06,21.960,
2006-07,21.719,
2006-08,21.792,
2006-09,21.959,
2006-10,22.042,
2006-11,22.303,
2006-12,22.623,
2007-01,22.260,
2007-02,22.853,
2007-03,23.345,
2007-04,23.304,
2007-05,23.237,
2007-06,23.850,
2007-07,24.348,
2007-08,24.042,
2007-09,24.853,
2007-10,24.771,
2007-11,25.218,
2007-12,25.341,
2008-01,24.772,
2008-02,24.940,
2008-03,25.443,
2008-04,26.061,
2008-05,25.627,
2008-06,26.128,
2008-07,26.961,
2008-08,26.579,
2008-09,26.137,
2008-10,26.910,
2008-11,27.133,
2008-12,26.369,
2009-01,25.077,
2009-02,24.537,
2009-03,24.428,
2009-04,24.128,
2009-05,24.141,
2009-06,24.383,
2009-07,25.012,
2009-08,25.202,
2009-09,25.991,
2009-10,26.364,
2009-11,26.860,
2009-12,26.747,
2010-01,26.373,
2010-02,27.318,
2010-03,28.679,
2010-04,29.616,
2010-05,30.301,
2010-06,31.229,
2010-07,30.588,
2010-08,29.777,
2010-09,30.471,
2010-10,31.695,
2010-11,32.138,
2010-12,32.640,
2011-01,31.887,
2011-02,32.863,
2011-03,33.583,
2011-04,33.960,
2011-05,34.374,
2011-06,33.737,
2011-07,34.080,
2011-08,33.992,
2011-09,35.085,
2011-10,35.791,
2011-11,36.072,
2011-12,35.668,
2012-01,35.579,
2012-02,35.804,
2012-03,36.789,
2012-04,37.018,
2012-05,37.722,
2012-06,39.138,
2012-07,39.023,
2012-08,38.224,
2012-09,38.213,
2012-10,37.745,
2012-11,38.233,
2012-12,36.814,
2013-01,35.162,
2013-02,35.509,
2013-03,36.983,
2013-04,37.174,
2013-05,36.624,
2013-06,38.286,
2013-07,37.493,
2013-08,37.569,
2013-09,38.177,
2013-10,38.266,
2013-11,39.163,
2013-12,38.645,
2014-01,37.322,
2014-02,37.503,
2014-03,38.045,
2014-04,39.091,
2014-05,38.815,
2014-06,39.947,
2014-07,41.042,
2014-08,40.655,
2014-09,41.705,
2014-10,42.730,
2014-11,42.936,
2014-12,42.691,
