"",BBK01.OEHI03P,BBK01.OEHI03P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:54:40,
2002-01,0.907,
2002-04,0.882,
2002-07,0.846,
2002-10,0.850,
2003-01,0.821,
2003-04,0.787,
2003-07,0.780,
2003-10,0.665,
2004-01,0.681,
2004-04,0.700,
2004-07,0.719,
2004-10,0.701,
2005-01,0.767,
2005-04,0.763,
2005-07,0.721,
2005-10,0.791,
2006-01,0.712,
2006-04,0.686,
2006-07,0.837,
2006-10,0.964,
2007-01,0.839,
2007-04,0.940,
2007-07,1.142,
2007-10,1.203,
2008-01,1.232,
2008-04,1.202,
2008-07,1.421,
2008-10,1.282,
2009-01,1.125,
2009-04,1.086,
2009-07,0.878,
2009-10,0.951,
2010-01,0.743,
2010-04,0.634,
2010-07,0.645,
2010-10,0.901,
2011-01,0.649,
2011-04,0.629,
2011-07,0.645,
2011-10,0.812,
2012-01,0.738,
2012-04,0.718,
2012-07,0.693,
2012-10,0.872,
2013-01,1.018,
2013-04,0.640,
2013-07,0.674,
2013-10,0.809,
2014-01,0.556,
2014-04,0.529,
2014-07,0.640,
