"",BBFB1.M.N.DE.W1.S1.S1.T.D.D9._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.D.D9._Z._Z._Z._T._X.N_FLAGS
"",Capital account / Capital transfers / Expenditure / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:39:21,
1991-01,438.345,
1991-02,103.421,
1991-03,233.946,
1991-04,381.949,
1991-05,196.039,
1991-06,229.497,
1991-07,128.841,
1991-08,284.016,
1991-09,242.328,
1991-10,134.327,
1991-11,138.783,
1991-12,573.148,
1992-01,163.644,
1992-02,157.266,
1992-03,191.399,
1992-04,123.332,
1992-05,143.114,
1992-06,140.785,
1992-07,156.559,
1992-08,145.617,
1992-09,134.789,
1992-10,151.902,
1992-11,134.414,
1992-12,351.896,
1993-01,162.055,
1993-02,232.218,
1993-03,154.265,
1993-04,128.781,
1993-05,170.813,
1993-06,136.281,
1993-07,154.375,
1993-08,172.559,
1993-09,152.753,
1993-10,188.863,
1993-11,244.610,
1993-12,351.874,
1994-01,135.296,
1994-02,201.727,
1994-03,149.171,
1994-04,154.126,
1994-05,219.648,
1994-06,147.711,
1994-07,163.143,
1994-08,184.148,
1994-09,258.150,
1994-10,517.183,
1994-11,238.988,
1994-12,347.150,
1995-01,167.671,
1995-02,145.362,
1995-03,185.526,
1995-04,1255.537,
1995-05,138.585,
1995-06,222.281,
1995-07,154.376,
1995-08,160.837,
1995-09,129.606,
1995-10,173.560,
1995-11,230.038,
1995-12,433.900,
1996-01,229.043,
1996-02,418.951,
1996-03,199.470,
1996-04,151.925,
1996-05,162.100,
1996-06,334.930,
1996-07,174.373,
1996-08,760.211,
1996-09,473.890,
1996-10,462.588,
1996-11,223.079,
1996-12,382.416,
1997-01,545.912,
1997-02,362.931,
1997-03,194.119,
1997-04,170.845,
1997-05,198.511,
1997-06,187.523,
1997-07,139.818,
1997-08,228.334,
1997-09,172.358,
1997-10,181.704,
1997-11,210.979,
1997-12,261.407,
1998-01,174.873,
1998-02,216.821,
1998-03,175.829,
1998-04,164.600,
1998-05,181.091,
1998-06,188.314,
1998-07,185.531,
1998-08,179.929,
1998-09,164.040,
1998-10,185.771,
1998-11,191.418,
1998-12,1397.098,
1999-01,156.460,
1999-02,186.952,
1999-03,150.892,
1999-04,162.225,
1999-05,188.277,
1999-06,184.209,
1999-07,638.225,
1999-08,188.595,
1999-09,238.696,
1999-10,199.106,
1999-11,323.933,
1999-12,1140.508,
2000-01,176.075,
2000-02,153.145,
2000-03,216.493,
2000-04,198.744,
2000-05,183.317,
2000-06,540.397,
2000-07,183.313,
2000-08,665.919,
2000-09,527.662,
2000-10,241.546,
2000-11,205.053,
2000-12,1357.326,
2001-01,239.092,
2001-02,165.040,
2001-03,183.925,
2001-04,154.241,
2001-05,157.516,
2001-06,189.175,
2001-07,262.555,
2001-08,201.499,
2001-09,3590.708,
2001-10,198.132,
2001-11,235.838,
2001-12,288.801,
2002-01,165.707,
2002-02,164.753,
2002-03,174.642,
2002-04,173.173,
2002-05,175.609,
2002-06,166.013,
2002-07,265.919,
2002-08,174.395,
2002-09,167.531,
2002-10,191.067,
2002-11,322.036,
2002-12,3719.534,
2003-01,196.474,
2003-02,509.936,
2003-03,122.179,
2003-04,142.688,
2003-05,167.977,
2003-06,173.603,
2003-07,170.910,
2003-08,158.795,
2003-09,207.547,
2003-10,186.624,
2003-11,289.859,
2003-12,-4614.906,
2004-01,163.075,
2004-02,217.684,
2004-03,180.484,
2004-04,154.692,
2004-05,158.333,
2004-06,165.239,
2004-07,300.542,
2004-08,151.036,
2004-09,152.378,
2004-10,169.078,
2004-11,191.112,
2004-12,739.201,
2005-01,2005.400,
2005-02,173.989,
2005-03,186.164,
2005-04,426.764,
2005-05,225.015,
2005-06,198.734,
2005-07,176.726,
2005-08,271.379,
2005-09,1685.136,
2005-10,179.161,
2005-11,199.573,
2005-12,621.011,
2006-01,276.504,
2006-02,165.013,
2006-03,260.379,
2006-04,176.200,
2006-05,308.487,
2006-06,547.306,
2006-07,307.740,
2006-08,197.694,
2006-09,208.560,
2006-10,229.604,
2006-11,264.662,
2006-12,1480.783,
2007-01,202.507,
2007-02,181.151,
2007-03,191.871,
2007-04,256.594,
2007-05,191.351,
2007-06,220.416,
2007-07,252.803,
2007-08,210.565,
2007-09,173.999,
2007-10,213.085,
2007-11,627.900,
2007-12,1535.396,
2008-01,229.021,
2008-02,180.642,
2008-03,488.659,
2008-04,296.452,
2008-05,190.167,
2008-06,233.401,
2008-07,348.936,
2008-08,194.538,
2008-09,205.942,
2008-10,254.300,
2008-11,210.659,
2008-12,1046.405,
2009-01,231.840,
2009-02,209.487,
2009-03,238.941,
2009-04,204.880,
2009-05,181.393,
2009-06,251.997,
2009-07,241.641,
2009-08,187.453,
2009-09,239.684,
2009-10,259.942,
2009-11,319.902,
2009-12,3595.144,
2010-01,507.320,
2010-02,216.603,
2010-03,297.942,
2010-04,212.527,
2010-05,240.758,
2010-06,262.789,
2010-07,248.380,
2010-08,237.718,
2010-09,317.235,
2010-10,297.688,
2010-11,374.064,
2010-12,1253.037,
2011-01,242.471,
2011-02,202.711,
2011-03,422.643,
2011-04,248.726,
2011-05,243.514,
2011-06,325.133,
2011-07,271.756,
2011-08,266.908,
2011-09,292.563,
2011-10,352.852,
2011-11,318.646,
2011-12,688.217,
2012-01,345.342,
2012-02,254.154,
2012-03,282.496,
2012-04,212.167,
2012-05,252.226,
2012-06,250.046,
2012-07,282.842,
2012-08,339.775,
2012-09,269.955,
2012-10,538.574,
2012-11,377.547,
2012-12,809.028,
2013-01,313.930,
2013-02,251.331,
2013-03,271.133,
2013-04,307.548,
2013-05,297.211,
2013-06,367.662,
2013-07,298.180,
2013-08,284.724,
2013-09,328.442,
2013-10,311.135,
2013-11,326.892,
2013-12,1214.283,
2014-01,181.774,
2014-02,201.423,Provisional value
2014-03,201.264,Provisional value
2014-04,243.613,Provisional value
2014-05,679.851,Provisional value
2014-06,293.688,Provisional value
2014-07,302.853,Provisional value
2014-08,220.711,Provisional value
2014-09,275.165,
2014-10,329.540,
2014-11,384.546,
2014-12,920.830,Provisional value
