"",BBEX3.M.MOP.USD.CA.AA.A01,BBEX3.M.MOP.USD.CA.AA.A01_FLAGS
1999-01,7.9613,
1999-02,7.9596,
1999-03,7.9630,
1999-04,7.9635,
1999-05,7.9682,
1999-06,7.9713,
1999-07,7.9749,
1999-08,7.9785,
1999-09,7.9816,
1999-10,7.9836,
1999-11,7.9847,
1999-12,7.9852,
2000-01,7.9938,
2000-02,7.9964,
2000-03,8.0000,
2000-04,8.0026,
2000-05,8.0062,
2000-06,8.0088,
2000-07,8.0119,
2000-08,8.0129,
2000-09,8.0113,
2000-10,8.0134,
2000-11,8.0134,
2000-12,8.0134,
2001-01,8.0134,
2001-02,8.0139,
2001-03,8.0134,
2001-04,8.0134,
2001-05,8.0139,
2001-06,8.0134,
2001-07,8.0139,
2001-08,8.0134,
2001-09,8.0134,
2001-10,8.0139,
2001-11,8.0129,
2001-12,8.0119,
2002-01,8.0132,
2002-02,8.0130,
2002-03,8.0134,
2002-04,8.0133,
2002-05,8.0137,
2002-06,8.0136,
2002-07,8.0138,
2002-08,8.0139,
2002-09,8.0137,
2002-10,8.0134,
2002-11,8.0126,
2002-12,8.0128,
2003-01,8.0135,
2003-02,8.0128,
2003-03,8.0131,
2003-04,8.0132,
2003-05,8.0125,
2003-06,8.0120,
2003-07,8.0131,
2003-08,8.0132,
2003-09,7.9225,
2003-10,7.9411,
2003-11,7.9380,
2003-12,7.9368,
2004-01,7.9497,
2004-02,7.9561,
2004-03,7.9702,
2004-04,7.9737,
2004-05,7.9674,
2004-06,7.9723,
2004-07,7.9729,
2004-08,7.9735,
2004-09,7.9728,
2004-10,7.9550,
2004-11,7.9506,
2004-12,7.9500,
2005-01,7.9732,
2005-02,7.9734,
2005-03,7.9728,
2005-04,7.9682,
2005-05,7.9528,
2005-06,7.9449,
2005-07,7.9480,
2005-08,7.9446,
2005-09,7.9312,
2005-10,7.9264,
2005-11,7.9268,
2005-12,7.9278,
2006-01,7.9290,
2006-02,7.9315,
2006-03,7.9328,
2006-04,7.9266,
2006-05,7.9294,
2006-06,7.9401,
2006-07,7.9445,
2006-08,7.9497,
2006-09,7.9621,
2006-10,7.9475,
2006-11,7.9589,
2006-12,7.9559,
2007-01,7.9932,
2007-02,7.9984,
2007-03,7.9977,
2007-04,8.0054,
2007-05,7.9915,
2007-06,8.0003,
2007-07,8.0084,
2007-08,7.9800,
2007-09,7.9414,
2007-10,7.9330,
2007-11,7.9725,
2007-12,7.9856,
2008-01,7.9849,
2008-02,7.9621,
2008-03,7.9651,
2008-04,7.9758,
2008-05,7.9877,
2008-06,7.9859,
2008-07,7.9866,
2008-08,7.9918,
2008-09,7.9457,
2008-10,7.9347,
2008-11,7.9357,
2008-12,7.9326,
2009-01,7.9387,
2009-02,7.9371,
2009-03,7.9328,
2009-04,7.9331,
2009-05,7.9354,
2009-06,7.9325,
2009-07,7.9330,
2009-08,7.9339,
2009-09,7.9330,
2009-10,7.9329,
2009-11,7.9333,
2009-12,7.9378,
2010-01,7.9562,
2010-02,7.9470,
2010-03,7.9472,
2010-04,7.9486,
2010-05,7.9731,
2010-06,7.9680,
2010-07,7.9493,
2010-08,7.9647,
2010-09,7.9432,
2010-10,7.9397,
2010-11,7.9479,
2010-12,7.9662,
2011-01,7.9757,
2011-02,7.9777,
2011-03,7.9678,
2011-04,7.9537,
2011-05,7.9614,
2011-06,7.9653,
2011-07,7.9763,
2011-08,7.9795,
2011-09,7.9779,
2011-10,7.9473,
2011-11,7.9728,
2011-12,7.9553,
2012-01,7.9400,
2012-02,7.9378,
2012-03,7.9478,
2012-04,7.9420,
2012-05,7.9485,
2012-06,7.9415,
2012-07,7.9378,
2012-08,7.9389,
2012-09,7.9362,
2012-10,7.9328,
2012-11,7.9326,
2012-12,7.9342,
2013-01,7.9409,
2013-02,7.9395,
2013-03,7.9460,
2013-04,7.9441,
2013-05,7.9465,
2013-06,7.9398,
2013-07,7.9381,
2013-08,7.9383,
2013-09,7.9368,
2013-10,7.9358,
2013-11,7.9351,
2013-12,7.9374,
2014-01,7.9477,
2014-02,7.9436,
2014-03,7.9406,
2014-04,7.9359,
2014-05,7.9355,
2014-06,7.9343,
2014-07,7.9329,
2014-08,7.9329,
2014-09,7.9460,
2014-10,7.9379,
2014-11,7.9355,
2014-12,7.9401,
2015-01,7.9725,
2015-02,7.9763,
"","Source: Since January 1977: Banco Nacional Ultramarino S.A., Macao 1975 - December 1976: Banco Nacional Ultramarino S.A., Lissabon.",
