"",BBK01.OEAH48N,BBK01.OEAH48N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:27:29,
2002-01,0.059,
2002-04,0.060,
2002-07,0.055,
2002-10,0.063,
2003-01,0.068,
2003-04,0.076,
2003-07,0.064,
2003-10,0.060,
2004-01,0.055,
2004-04,0.050,
2004-07,0.050,
2004-10,0.042,
2005-01,0.048,
2005-04,0.047,
2005-07,0.046,
2005-10,0.046,
2006-01,0.055,
2006-04,0.060,
2006-07,0.064,
2006-10,0.071,
2007-01,0.081,
2007-04,0.094,
2007-07,0.117,
2007-10,0.248,
2008-01,0.351,
2008-04,0.366,
2008-07,0.400,
2008-10,0.451,
2009-01,0.416,
2009-04,0.413,
2009-07,0.369,
2009-10,0.335,
2010-01,0.272,
2010-04,0.275,
2010-07,0.273,
2010-10,0.339,
2011-01,0.340,
2011-04,0.394,
2011-07,0.451,
2011-10,0.532,
2012-01,0.567,
2012-04,0.557,
2012-07,0.591,
2012-10,0.524,
2013-01,0.602,
2013-04,0.626,
2013-07,0.574,
2013-10,0.762,
2014-01,0.594,
2014-04,0.616,
2014-07,0.670,
