"",BBK01.DQ7517,BBK01.DQ7517_FLAGS
"","Pay rates, production sector (incl. construction), on a monthly basis, Germany",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-11 13:06:09,
1991-01,48.1,
1991-04,50.9,
1991-07,58.6,
1991-10,61.9,
1992-01,52.1,
1992-04,56.5,
1992-07,65.9,
1992-10,70.3,
1993-01,57.8,
1993-04,59.5,
1993-07,69.9,
1993-10,74.6,
1994-01,60.7,
1994-04,61.4,
1994-07,71.5,
1994-10,76.2,
1995-01,64.3,
1995-04,65.1,
1995-07,75.4,
1995-10,80.9,
1996-01,66.5,
1996-04,66.8,
1996-07,78.0,
1996-10,82.7,
1997-01,68.3,
1997-04,68.3,
1997-07,79.3,
1997-10,83.3,
1998-01,68.6,
1998-04,69.8,
1998-07,81.0,
1998-10,85.0,
1999-01,71.5,
1999-04,72.3,
1999-07,83.7,
1999-10,87.4,
2000-01,72.8,
2000-04,73.7,
2000-07,85.5,
2000-10,89.3,
2001-01,73.9,
2001-04,74.7,
2001-07,87.0,
2001-10,90.9,
2002-01,75.3,
2002-04,77.0,
2002-07,89.9,
2002-10,93.6,
2003-01,77.3,
2003-04,78.8,
2003-07,91.9,
2003-10,95.5,
2004-01,79.7,
2004-04,79.9,
2004-07,92.8,
2004-10,97.5,
2005-01,80.9,
2005-04,80.9,
2005-07,94.3,
2005-10,98.9,
2006-01,82.6,
2006-04,83.1,
2006-07,96.1,
2006-10,101.5,
2007-01,82.7,
2007-04,86.4,
2007-07,98.9,
2007-10,103.6,
2008-01,85.4,
2008-04,87.0,
2008-07,101.7,
2008-10,109.1,
2009-01,88.0,
2009-04,89.9,
2009-07,105.0,
2009-10,109.7,
2010-01,90.4,
2010-04,92.7,
2010-07,105.2,
2010-10,111.6,
2011-01,91.3,
2011-04,93.4,
2011-07,108.0,
2011-10,113.7,
2012-01,93.8,
2012-04,96.6,
2012-07,111.5,
2012-10,117.8,
2013-01,97.2,
2013-04,99.0,
2013-07,115.1,
2013-10,121.5,
2014-01,100.3,
2014-04,102.7,
2014-07,117.9,
2014-10,124.6,
