"",BBK01.CEL401,BBK01.CEL401_FLAGS
"",Loans                                                           debtor: Total            creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:46:25,
1999-01,3.1,
1999-04,1.1,
1999-07,4.9,
1999-10,-4.0,
2000-01,5.9,
2000-04,11.1,
2000-07,-6.7,
2000-10,25.1,
2001-01,24.4,
2001-04,5.5,
2001-07,-3.4,
2001-10,11.6,
2002-01,35.0,
2002-04,6.9,
2002-07,16.4,
2002-10,-13.8,
2003-01,13.4,
2003-04,-1.1,
2003-07,1.8,
2003-10,-7.5,
2004-01,-0.1,
2004-04,-1.7,
2004-07,7.7,
2004-10,-5.9,
2005-01,-13.3,
2005-04,9.3,
2005-07,6.0,
2005-10,-5.7,
2006-01,19.4,
2006-04,6.6,
2006-07,10.4,
2006-10,4.3,
2007-01,-2.8,
2007-04,-2.3,
2007-07,5.6,
2007-10,20.9,
2008-01,6.0,
2008-04,7.3,
2008-07,3.7,
2008-10,0.4,
2009-01,5.8,
2009-04,6.0,
2009-07,-8.3,
2009-10,-13.0,
2010-01,7.0,
2010-04,19.5,
2010-07,-3.6,
2010-10,7.9,
2011-01,5.6,
2011-04,-9.5,
2011-07,9.4,
2011-10,5.3,
2012-01,7.3,
2012-04,13.1,
2012-07,-0.9,
2012-10,1.5,
2013-01,2.1,
2013-04,-0.5,
2013-07,4.2,
2013-10,-21.5,
2014-01,10.7,
2014-04,1.2,
2014-07,15.7,
