"",BBK01.OECJ08V,BBK01.OECJ08V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:01:59,
2002-01,0.005,
2002-04,0.004,
2002-07,0.003,
2002-10,0.003,
2003-01,0.009,
2003-04,0.011,
2003-07,0.012,
2003-10,0.015,
2004-01,0.022,
2004-04,0.016,
2004-07,0.016,
2004-10,0.017,
2005-01,0.053,
2005-04,0.049,
2005-07,0.050,
2005-10,0.037,
2006-01,0.013,
2006-04,0.017,
2006-07,0.017,
2006-10,0.011,
2007-01,0.010,
2007-04,0.009,
2007-07,0.007,
2007-10,0.005,
2008-01,0.007,
2008-04,0.005,
2008-07,0.005,
2008-10,0.008,
2009-01,0.041,
2009-04,0.038,
2009-07,0.043,
2009-10,0.051,
2010-01,0.062,
2010-04,0.068,
2010-07,0.066,
2010-10,0.062,
2011-01,0.053,
2011-04,0.028,
2011-07,0.025,
2011-10,0.019,
2012-01,0.032,
2012-04,0.019,
2012-07,0.030,
2012-10,0.036,
2013-01,0.041,
2013-04,0.044,
2013-07,0.036,
2013-10,0.031,
2014-01,0.031,
2014-04,0.027,
2014-07,0.027,
