"",BBK01.OUA218,BBK01.OUA218_FLAGS
"",Time deposits of social security funds / for up and including 1 year / All categories of banks,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 09:26:24,
1968-12,2.244,
1969-01,2.413,
1969-02,2.278,
1969-03,2.143,
1969-04,2.132,
1969-05,2.414,
1969-06,2.535,
1969-07,2.629,
1969-08,2.679,
1969-09,2.701,
1969-10,2.828,
1969-11,2.626,
1969-12,2.959,
1970-01,3.136,
1970-02,3.042,
1970-03,2.799,
1970-04,2.965,
1970-05,3.273,
1970-06,3.453,
1970-07,3.875,
1970-08,4.178,
1970-09,4.285,
1970-10,4.440,
1970-11,4.433,
1970-12,4.878,
1971-01,5.151,
1971-02,5.210,
1971-03,5.296,
1971-04,5.473,
1971-05,5.701,
1971-06,5.326,
1971-07,5.111,
1971-08,5.000,
1971-09,5.224,
1971-10,4.968,
1971-11,5.020,
1971-12,5.261,
1972-01,5.473,
1972-02,5.390,
1972-03,4.821,
1972-04,4.941,
1972-05,5.409,
1972-06,5.586,
1972-07,5.799,
1972-08,6.027,
1972-09,6.268,
1972-10,6.413,
1972-11,5.707,
1972-12,6.150,
1973-01,6.657,
1973-02,6.668,
1973-03,6.582,
1973-04,6.397,
1973-05,6.854,
1973-06,6.239,
1973-07,6.241,
1973-08,6.215,
1973-09,6.151,
1973-10,6.004,
1973-11,5.726,
1973-12,6.052,
1974-01,6.578,
1974-02,6.470,
1974-03,6.285,
1974-04,6.589,
1974-05,6.965,
1974-06,7.019,
1974-07,7.193,
1974-08,7.264,
1974-09,7.083,
1974-10,7.091,
1974-11,6.705,
1974-12,7.289,
1975-01,7.253,
1975-02,7.212,
1975-03,6.559,
1975-04,6.488,
1975-05,6.895,
1975-06,6.595,
1975-07,6.529,
1975-08,6.438,
1975-09,5.895,
1975-10,5.595,
1975-11,4.597,
1975-12,5.340,
1976-01,5.700,
1976-02,5.296,
1976-03,4.779,
1976-04,4.656,
1976-05,5.348,
1976-06,6.218,
1976-07,6.192,
1976-08,6.299,
1976-09,5.954,
1976-10,5.627,
1976-11,5.351,
1976-12,6.833,
1977-01,7.104,
1977-02,6.743,
1977-03,6.151,
1977-04,6.134,
1977-05,6.741,
1977-06,6.808,
1977-07,6.856,
1977-08,6.977,
1977-09,7.104,
1977-10,6.650,
1977-11,6.392,
