"",BBK01.OEXM05O,BBK01.OEXM05O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:43:57,
2002-01,-0.381,
2002-04,-0.375,
2002-07,-0.373,
2002-10,-0.367,
2003-01,-0.354,
2003-04,-0.358,
2003-07,-0.355,
2003-10,-0.335,
2004-01,-0.349,
2004-04,-0.315,
2004-07,0.009,
2004-10,0.009,
2005-01,0.013,
2005-04,0.013,
2005-07,0.012,
2005-10,0.005,
2006-01,0.005,
2006-04,0.001,
2006-07,-,Nothing exists
2006-10,-,Nothing exists
2007-01,-,Nothing exists
2007-04,-,Nothing exists
2007-07,-,Nothing exists
2007-10,-,Nothing exists
2008-01,-,Nothing exists
2008-04,-,Nothing exists
2008-07,-,Nothing exists
2008-10,-,Nothing exists
2009-01,-,Nothing exists
2009-04,-,Nothing exists
2009-07,-,Nothing exists
2009-10,-,Nothing exists
2010-01,-,Nothing exists
2010-04,-,Nothing exists
2010-07,0.007,
2010-10,0.011,
2011-01,0.015,
2011-04,0.015,
2011-07,0.017,
2011-10,0.017,
2012-01,0.017,
2012-04,0.033,
2012-07,0.034,
2012-10,0.038,
2013-01,0.045,
2013-04,0.043,
2013-07,0.057,
2013-10,0.075,
2014-01,0.075,
2014-04,0.073,
2014-07,0.074,
