"",BBK01.OEAC48L,BBK01.OEAC48L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:54:43,
2002-01,2.429,
2002-04,2.535,
2002-07,2.549,
2002-10,2.513,
2003-01,2.561,
2003-04,2.409,
2003-07,2.531,
2003-10,2.603,
2004-01,2.574,
2004-04,2.647,
2004-07,2.766,
2004-10,2.825,
2005-01,2.889,
2005-04,2.725,
2005-07,2.777,
2005-10,2.791,
2006-01,2.760,
2006-04,2.844,
2006-07,2.893,
2006-10,2.956,
2007-01,2.872,
2007-04,2.761,
2007-07,2.699,
2007-10,2.738,
2008-01,3.127,
2008-04,3.255,
2008-07,3.600,
2008-10,6.643,
2009-01,6.689,
2009-04,6.645,
2009-07,4.677,
2009-10,4.713,
2010-01,4.676,
2010-04,4.723,
2010-07,4.851,
2010-10,5.031,
2011-01,5.024,
2011-04,5.041,
2011-07,5.081,
2011-10,5.195,
2012-01,5.193,
2012-04,5.253,
2012-07,5.216,
2012-10,5.295,
2013-01,5.581,
2013-04,5.434,
2013-07,5.866,
2013-10,6.580,
2014-01,6.681,
2014-04,6.716,
2014-07,6.866,
