"",BBFB1.M.N.DE.W1.S1.S1.T.D.G___AA1._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.D.G___AA1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Supplementary trade items / To imports / Additions / Imports to warehouses less imports from warehouses  / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:35:54,
1991-01,415.630,
1991-02,195.733,
1991-03,495.428,
1991-04,264.399,
1991-05,843.565,
1991-06,305.620,
1991-07,477.517,
1991-08,625.274,
1991-09,237.478,
1991-10,443.207,
1991-11,430.635,
1991-12,145.450,
1992-01,332.332,
1992-02,294.189,
1992-03,244.132,
1992-04,284.057,
1992-05,449.947,
1992-06,371.324,
1992-07,333.457,
1992-08,215.492,
1992-09,459.971,
1992-10,262.351,
1992-11,222.246,
1992-12,355.538,
1993-01,377.243,
1993-02,318.297,
1993-03,309.178,
1993-04,504.738,
1993-05,433.134,
1993-06,257.059,
1993-07,698.924,
1993-08,328.291,
1993-09,78.337,
1993-10,267.709,
1993-11,543.325,
1993-12,286.017,
1994-01,183.299,
1994-02,103.828,
1994-03,316.929,
1994-04,443.938,
1994-05,338.826,
1994-06,507.719,
1994-07,513.534,
1994-08,357.317,
1994-09,200.732,
1994-10,527.090,
1994-11,383.558,
1994-12,321.606,
1995-01,418.995,
1995-02,130.404,
1995-03,442.051,
1995-04,254.114,
1995-05,577.956,
1995-06,488.726,
1995-07,512.307,
1995-08,439.022,
1995-09,246.851,
1995-10,492.635,
1995-11,583.191,
1995-12,397.327,
1996-01,713.585,
1996-02,352.203,
1996-03,-34.436,
1996-04,387.537,
1996-05,402.659,
1996-06,323.098,
1996-07,416.343,
1996-08,432.598,
1996-09,246.190,
1996-10,356.644,
1996-11,332.637,
1996-12,279.448,
1997-01,536.878,
1997-02,267.530,
1997-03,315.809,
1997-04,607.827,
1997-05,404.163,
1997-06,625.293,
1997-07,495.518,
1997-08,532.362,
1997-09,601.270,
1997-10,423.358,
1997-11,386.939,
1997-12,261.841,
1998-01,356.592,
1998-02,300.012,
1998-03,333.269,
1998-04,217.535,
1998-05,587.490,
1998-06,264.004,
1998-07,561.649,
1998-08,333.345,
1998-09,256.889,
1998-10,183.920,
1998-11,126.107,
1998-12,-135.950,
1999-01,1575.007,
1999-02,275.429,
1999-03,134.129,
1999-04,360.200,
1999-05,465.367,
1999-06,354.295,
1999-07,397.928,
1999-08,1065.429,
1999-09,192.043,
1999-10,397.283,
1999-11,333.334,
1999-12,312.955,
2000-01,390.417,
2000-02,335.435,
2000-03,164.136,
2000-04,215.191,
2000-05,595.058,
2000-06,299.001,
2000-07,447.769,
2000-08,407.393,
2000-09,380.424,
2000-10,430.527,
2000-11,117.284,
2000-12,474.684,
2001-01,251.521,
2001-02,201.119,
2001-03,336.755,
2001-04,440.568,
2001-05,325.837,
2001-06,291.769,
2001-07,339.586,
2001-08,335.120,
2001-09,306.997,
2001-10,279.889,
2001-11,293.822,
2001-12,29.068,
2002-01,313.025,
2002-02,264.841,
2002-03,143.057,
2002-04,662.630,
2002-05,356.217,
2002-06,-93.329,
2002-07,416.953,
2002-08,126.052,
2002-09,179.110,
2002-10,243.251,
2002-11,273.492,
2002-12,416.495,
2003-01,355.448,
2003-02,184.609,
2003-03,-19.431,
2003-04,254.230,
2003-05,268.169,
2003-06,233.416,
2003-07,417.565,
2003-08,258.586,
2003-09,302.550,
2003-10,127.798,
2003-11,184.615,
2003-12,344.581,
2004-01,419.131,
2004-02,239.730,
2004-03,386.243,
2004-04,339.217,
2004-05,306.097,
2004-06,451.818,
2004-07,350.336,
2004-08,435.303,
2004-09,179.781,
2004-10,290.148,
2004-11,346.533,
2004-12,215.818,
2005-01,248.042,
2005-02,317.062,
2005-03,183.272,
2005-04,275.439,
2005-05,320.861,
2005-06,339.043,
2005-07,382.618,
2005-08,100.896,
2005-09,347.323,
2005-10,320.231,
2005-11,322.213,
2005-12,58.711,
2006-01,408.921,
2006-02,192.690,
2006-03,324.055,
2006-04,36.030,
2006-05,525.242,
2006-06,138.210,
2006-07,564.920,
2006-08,-84.859,
2006-09,143.929,
2006-10,406.415,
2006-11,378.031,
2006-12,440.251,
2007-01,378.619,
2007-02,222.095,
2007-03,218.811,
2007-04,168.676,
2007-05,570.759,
2007-06,44.486,
2007-07,267.872,
2007-08,164.922,
2007-09,547.799,
2007-10,387.232,
2007-11,281.175,
2007-12,221.195,
2008-01,453.451,
2008-02,986.881,
2008-03,298.706,
2008-04,294.864,
2008-05,371.410,
2008-06,206.685,
2008-07,375.385,
2008-08,398.941,
2008-09,237.476,
2008-10,328.857,
2008-11,631.404,
2008-12,17.495,
2009-01,271.974,
2009-02,366.174,
2009-03,104.460,
2009-04,159.633,
2009-05,217.132,
2009-06,223.307,
2009-07,197.327,
2009-08,214.124,
2009-09,126.768,
2009-10,-190.499,
2009-11,408.951,
2009-12,242.839,
2010-01,232.328,
2010-02,166.290,
2010-03,317.009,
2010-04,246.771,
2010-05,396.452,
2010-06,560.098,
2010-07,457.368,
2010-08,348.302,
2010-09,247.421,
2010-10,216.458,
2010-11,183.100,
2010-12,404.580,
2011-01,401.618,
2011-02,382.534,
2011-03,361.770,
2011-04,348.923,
2011-05,348.815,
2011-06,513.826,
2011-07,534.638,
2011-08,614.483,
2011-09,314.561,
2011-10,377.358,
2011-11,-55.382,
2011-12,731.072,
2012-01,358.459,
2012-02,325.119,
2012-03,269.281,
2012-04,350.357,
2012-05,546.301,
2012-06,472.128,
2012-07,478.659,
2012-08,547.213,
2012-09,102.212,
2012-10,452.837,
2012-11,193.992,
2012-12,643.236,
2013-01,373.444,
2013-02,324.805,
2013-03,166.761,
2013-04,378.546,
2013-05,425.306,
2013-06,398.863,
2013-07,442.509,
2013-08,419.988,
2013-09,329.800,
2013-10,310.585,
2013-11,181.686,
2013-12,515.026,
2014-01,455.786,
2014-02,261.985,
2014-03,248.308,
2014-04,325.846,
2014-05,453.717,
2014-06,129.965,
2014-07,786.833,
2014-08,314.661,
2014-09,-12.660,
2014-10,521.684,
2014-11,203.416,
2014-12,575.000,Provisional value
