"",BBSF2.M.1.S.I0123.AKT01.I.F.MIZ.DE.00000.000000.Z01.00,BBSF2.M.1.S.I0123.AKT01.I.F.MIZ.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Equity funds / Sales receipts / Other financial intermediaries / Distribution and cumulative funds,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:49:30,
2009-09,-,Nothing exists
2009-10,-,Nothing exists
2009-11,19,
2009-12,107,
2010-01,10,
2010-02,0,
2010-03,1,
2010-04,-,Nothing exists
2010-05,-,Nothing exists
2010-06,7,
2010-07,0,
2010-08,1,
2010-09,30,
2010-10,652,
2010-11,45,
2010-12,168,
2011-01,-,Nothing exists
2011-02,201,
2011-03,-,Nothing exists
2011-04,-,Nothing exists
2011-05,8,
2011-06,-,Nothing exists
2011-07,191,
2011-08,4,
2011-09,37,
2011-10,1,
2011-11,741,
2011-12,244,
2012-01,2684,
2012-02,118,
2012-03,1,
2012-04,405,
2012-05,1,
2012-06,24,
2012-07,4,
2012-08,1436,
2012-09,2,
2012-10,9,
2012-11,22,
2012-12,1620,
2013-01,139,
2013-02,408,
2013-03,873,
2013-04,3,
2013-05,554,
2013-06,71,
2013-07,504,
2013-08,0,
2013-09,93,
2013-10,4,
2013-11,29,
2013-12,461,
2014-01,348,
2014-02,775,
2014-03,21,
2014-04,3,
2014-05,28,
2014-06,4,
2014-07,326,
2014-08,5,
2014-09,12,
2014-10,173,
2014-11,4112,
