"",BBFN1.M.DE.N.1.L.BE.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.BE.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents / Total / Belgium,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:09:23,
1994-12,7.988,
1995-01,7.486,
1995-02,7.457,
1995-03,8.519,
1995-04,8.436,
1995-05,8.777,
1995-06,8.681,
1995-07,8.445,
1995-08,8.567,
1995-09,8.606,
1995-10,8.502,
1995-11,8.394,
1995-12,8.305,
1996-01,7.852,
1996-02,9.096,
1996-03,9.251,
1996-04,8.997,
1996-05,9.425,
1996-06,9.671,
1996-07,8.686,
1996-08,8.287,
1996-09,8.842,
1996-10,8.778,
1996-11,9.526,
1996-12,8.578,
1997-01,8.695,
1997-02,9.757,
1997-03,9.992,
1997-04,9.310,
1997-05,9.713,
1997-06,9.237,
1997-07,9.734,
1997-08,9.236,
1997-09,10.612,
1997-10,10.311,
1997-11,10.519,
1997-12,12.107,
1998-01,11.823,
1998-02,12.186,
1998-03,13.530,
1998-04,13.101,
1998-05,12.450,
1998-06,12.219,
1998-07,12.051,
1998-08,12.922,
1998-09,12.962,
1998-10,12.758,
1998-11,12.414,
1998-12,12.131,
1999-01,13.883,
1999-02,13.282,
1999-03,13.286,
1999-04,13.407,
1999-05,13.088,
1999-06,12.939,
1999-07,14.452,
1999-08,13.914,
1999-09,13.333,
1999-10,13.927,
1999-11,14.587,
1999-12,15.517,
2000-01,16.043,
2000-02,14.327,
2000-03,14.456,
2000-04,14.288,
2000-05,14.516,
2000-06,15.583,
2000-07,15.614,
2000-08,15.372,
2000-09,15.863,
2000-10,16.643,
2000-11,15.529,
2000-12,16.296,
2001-01,17.679,
2001-02,18.465,
2001-03,18.241,
2001-04,19.197,
2001-05,21.545,
2001-06,21.165,
2001-07,21.303,
2001-08,21.666,
2001-09,22.200,
2001-10,22.058,
2001-11,22.019,
2001-12,21.356,
2002-01,22.615,
2002-02,22.884,
2002-03,22.515,
2002-04,22.520,
2002-05,22.837,
2002-06,23.924,
2002-07,23.979,
2002-08,24.045,
2002-09,25.416,
2002-10,25.266,
2002-11,24.125,
2002-12,26.676,
2003-01,26.379,
2003-02,26.731,
2003-03,25.972,
2003-04,25.186,
2003-05,26.056,
2003-06,26.867,
2003-07,27.526,
2003-08,26.819,
2003-09,26.621,
2003-10,26.736,
2003-11,26.479,
2003-12,25.025,
2004-01,23.101,
2004-02,22.773,
2004-03,24.184,
2004-04,23.406,
2004-05,20.687,
2004-06,22.485,
2004-07,22.878,
2004-08,23.029,
2004-09,23.245,
2004-10,22.663,
2004-11,20.993,
2004-12,21.257,
2005-01,21.298,
2005-02,21.096,
2005-03,21.254,
2005-04,20.412,
2005-05,19.884,
2005-06,21.804,
2005-07,21.500,
2005-08,22.031,
2005-09,21.891,
2005-10,22.833,
2005-11,23.179,
2005-12,23.840,
2006-01,27.554,
2006-02,26.611,
2006-03,26.878,
2006-04,21.856,
2006-05,26.073,
2006-06,27.003,
2006-07,29.495,
2006-08,29.163,
2006-09,30.017,
2006-10,28.382,
2006-11,28.338,
2006-12,31.923,
2007-01,31.344,
2007-02,31.567,
2007-03,31.738,
2007-04,32.769,
2007-05,31.761,
2007-06,34.142,
2007-07,33.981,
2007-08,34.135,
2007-09,38.328,
2007-10,34.001,
2007-11,35.565,
2007-12,26.633,
2008-01,32.630,
2008-02,35.222,
2008-03,32.912,
2008-04,32.679,
2008-05,33.254,
2008-06,33.023,
2008-07,32.412,
2008-08,33.332,
2008-09,32.849,
2008-10,33.011,
2008-11,38.207,
2008-12,41.915,
2009-01,41.298,
2009-02,40.973,
2009-03,42.330,
2009-04,43.549,
2009-05,42.389,
2009-06,42.483,
2009-07,41.820,
2009-08,41.475,
2009-09,42.476,
2009-10,40.815,
2009-11,41.562,
2009-12,47.133,
2010-01,46.565,
2010-02,46.229,
2010-03,46.378,
2010-04,46.398,
2010-05,47.906,
2010-06,52.764,
2010-07,52.130,
2010-08,53.187,
2010-09,53.782,
2010-10,53.100,
2010-11,55.041,
2010-12,57.527,
2011-01,53.187,
2011-02,56.259,
2011-03,52.183,
2011-04,55.354,
2011-05,57.132,
2011-06,54.568,
2011-07,59.537,
2011-08,60.444,
2011-09,57.241,
2011-10,57.019,
2011-11,55.624,
2011-12,54.042,
2012-01,55.327,
2012-02,60.870,
2012-03,62.555,
2012-04,63.672,
2012-05,68.125,
2012-06,57.468,
2012-07,58.404,
2012-08,56.203,
2012-09,60.258,
2012-10,61.530,
2012-11,60.734,
2012-12,57.759,
2013-01,62.627,
2013-02,71.674,
2013-03,74.850,
2013-04,76.765,
2013-05,77.731,
2013-06,75.215,
2013-07,76.825,
2013-08,70.861,
2013-09,70.985,
2013-10,73.123,
2013-11,73.016,
2013-12,66.326,
2014-01,70.867,
2014-02,75.392,
2014-03,73.094,
2014-04,71.196,
2014-05,72.806,
2014-06,77.834,
2014-07,82.422,
2014-08,79.007,
2014-09,76.900,
2014-10,67.756,
2014-11,69.488,
2014-12,62.547,
