"",BBSF2.M.1.T.00000.TOT01.I.F.SVG.Z5.00013.F03300.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.SVG.Z5.00013.F03300.Z01.00_FLAGS
"",Funds total / Funds total / Debt securities total / General Government,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:43:04,
2009-09,196457,
2009-10,198139,
2009-11,201791,
2009-12,205629,
2010-01,209496,
2010-02,213123,
2010-03,217734,
2010-04,219460,
2010-05,223475,
2010-06,222965,
2010-07,224770,
2010-08,232369,
2010-09,229697,
2010-10,229007,
2010-11,223741,
2010-12,222334,
2011-01,215663,
2011-02,215448,
2011-03,213020,
2011-04,212320,
2011-05,213891,
2011-06,211802,
2011-07,215143,
2011-08,219997,
2011-09,223540,
2011-10,220534,
2011-11,214835,
2011-12,222366,
2012-01,218132,
2012-02,222202,
2012-03,218288,
2012-04,220315,
2012-05,225530,
2012-06,223675,
2012-07,227661,
2012-08,228372,
2012-09,226990,
2012-10,228383,
2012-11,233577,
2012-12,236340,
2013-01,235223,
2013-02,239447,
2013-03,242900,
2013-04,248340,
2013-05,245881,
2013-06,242371,
2013-07,246441,
2013-08,244104,
2013-09,244813,
2013-10,242102,
2013-11,243358,
2013-12,241433,
2014-01,248371,
2014-02,251399,
2014-03,254913,
2014-04,255992,
2014-05,262282,
2014-06,262345,
2014-07,265725,
2014-08,272123,
2014-09,274060,
2014-10,275284,
2014-11,282477,
