"",BBFB1.Q.N.DE.R5.S1.S1.T.B.IN2._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.R5.S1.S1.T.B.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / Balance / OPEC (Organization of Petroleum Exporting Countries),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:35:42,
1991-01,-15.848,
1991-04,-1.121,
1991-07,-41.742,
1991-10,-38.941,
1992-01,-22.703,
1992-04,3.940,
1992-07,-10.257,
1992-10,-24.933,
1993-01,-21.119,
1993-04,2.522,
1993-07,-14.787,
1993-10,-9.321,
1994-01,-2.539,
1994-04,11.689,
1994-07,-3.282,
1994-10,-10.147,
1995-01,-8.406,
1995-04,13.393,
1995-07,-10.835,
1995-10,-16.342,
1996-01,-7.246,
1996-04,-0.993,
1996-07,-20.948,
1996-10,-28.606,
1997-01,-13.178,
1997-04,14.092,
1997-07,-12.389,
1997-10,-29.838,
1998-01,-21.244,
1998-04,179.304,
1998-07,-25.812,
1998-10,-31.164,
1999-01,-21.980,
1999-04,29.404,
1999-07,-25.437,
1999-10,-39.364,
2000-01,-24.626,
2000-04,19.522,
2000-07,-23.102,
2000-10,-241.038,
2001-01,-33.213,
2001-04,11.320,
2001-07,-39.650,
2001-10,-43.024,
2002-01,-34.154,
2002-04,-45.090,
2002-07,-36.570,
2002-10,-42.557,
2003-01,-36.584,
2003-04,-13.096,
2003-07,-49.428,
2003-10,-32.056,
2004-01,-36.770,
2004-04,-7.858,
2004-07,-32.845,
2004-10,-28.849,
2005-01,-72.029,
2005-04,-7.829,
2005-07,-48.242,
2005-10,-46.286,
2006-01,-42.337,
2006-04,-19.656,
2006-07,-44.658,
2006-10,-34.624,
2007-01,-42.118,
2007-04,-32.136,
2007-07,-73.866,
2007-10,-52.799,
2008-01,-72.813,
2008-04,-3.984,
2008-07,-71.625,
2008-10,-55.516,
2009-01,-52.659,
2009-04,-77.364,
2009-07,-76.150,
2009-10,-47.962,
2010-01,-39.719,
2010-04,-59.528,
2010-07,-22.544,
2010-10,-62.609,
2011-01,-38.996,
2011-04,-23.336,
2011-07,-47.151,
2011-10,-39.693,
2012-01,-65.652,
2012-04,-33.523,
2012-07,-205.614,
2012-10,-38.344,
2013-01,-58.178,
2013-04,-13.979,
2013-07,-41.821,
2013-10,-56.277,
2014-01,-45.193,Provisional value
2014-04,-27.514,Provisional value
2014-07,-32.016,Provisional value
