"",BBK01.OEBK05G,BBK01.OEBK05G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:08:16,
2002-01,0.027,
2002-04,0.031,
2002-07,0.035,
2002-10,0.039,
2003-01,0.040,
2003-04,0.042,
2003-07,0.044,
2003-10,0.048,
2004-01,0.045,
2004-04,0.053,
2004-07,0.066,
2004-10,0.071,
2005-01,0.030,
2005-04,0.028,
2005-07,0.015,
2005-10,0.013,
2006-01,0.012,
2006-04,0.013,
2006-07,0.013,
2006-10,0.011,
2007-01,0.009,
2007-04,0.010,
2007-07,0.008,
2007-10,0.009,
2008-01,0.008,
2008-04,0.009,
2008-07,0.008,
2008-10,0.019,
2009-01,0.022,
2009-04,0.026,
2009-07,0.027,
2009-10,0.028,
2010-01,0.031,
2010-04,0.029,
2010-07,0.032,
2010-10,0.028,
2011-01,0.029,
2011-04,0.024,
2011-07,0.025,
2011-10,0.024,
2012-01,0.025,
2012-04,0.024,
2012-07,0.026,
2012-10,0.026,
2013-01,0.023,
2013-04,0.019,
2013-07,0.026,
2013-10,0.024,
2014-01,0.023,
2014-04,0.023,
2014-07,0.025,
