"",BBSF2.M.1.P.00000.TOT01.I.F.SVG.CZ.00013.F03300.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.SVG.CZ.00013.F03300.Z01.00_FLAGS
"",Public funds / Funds total / Debt securities total / Czech Republic / General Government,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:45:24,
2009-09,166,
2009-10,168,
2009-11,153,
2009-12,152,
2010-01,130,
2010-02,124,
2010-03,121,
2010-04,121,
2010-05,106,
2010-06,98,
2010-07,100,
2010-08,109,
2010-09,135,
2010-10,131,
2010-11,129,
2010-12,116,
2011-01,110,
2011-02,108,
2011-03,107,
2011-04,120,
2011-05,121,
2011-06,129,
2011-07,139,
2011-08,135,
2011-09,140,
2011-10,132,
2011-11,127,
2011-12,134,
2012-01,140,
2012-02,189,
2012-03,179,
2012-04,158,
2012-05,158,
2012-06,165,
2012-07,171,
2012-08,168,
2012-09,165,
2012-10,178,
2012-11,172,
2012-12,181,
2013-01,184,
2013-02,184,
2013-03,184,
2013-04,185,
2013-05,174,
2013-06,156,
2013-07,148,
2013-08,142,
2013-09,138,
2013-10,126,
2013-11,121,
2013-12,123,
2014-01,122,
2014-02,124,
2014-03,121,
2014-04,118,
2014-05,99,
2014-06,96,
2014-07,95,
2014-08,93,
2014-09,93,
2014-10,89,
2014-11,85,
