"",BBSF2.M.1.P.00000.IMM01.I.F.ERT.Z5.00000.000000.Z01.00,BBSF2.M.1.P.00000.IMM01.I.F.ERT.Z5.00000.000000.Z01.00_FLAGS
"",Public funds / Real estate funds / Distribution of earnings,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:37:55,
1993-04,94,
1993-05,-,Nothing exists
1993-06,143,
1993-07,-,Nothing exists
1993-08,-,Nothing exists
1993-09,-,Nothing exists
1993-10,18,
1993-11,-,Nothing exists
1993-12,244,
1994-01,434,
1994-02,10,
1994-03,6,
1994-04,159,
1994-05,0,
1994-06,291,
1994-07,0,
1994-08,0,
1994-09,0,
1994-10,0,
1994-11,20,
1994-12,49,
1995-01,515,
1995-02,19,
1995-03,7,
1995-04,176,
1995-05,6,
1995-06,343,
1995-07,6,
1995-08,6,
1995-09,6,
1995-10,6,
1995-11,22,
1995-12,276,
1996-01,552,
1996-02,6,
1996-03,-,Nothing exists
1996-04,181,
1996-05,-,Nothing exists
1996-06,429,
1996-07,-,Nothing exists
1996-08,-,Nothing exists
1996-09,-,Nothing exists
1996-10,-,Nothing exists
1996-11,24,
1996-12,335,
1997-01,654,
1997-02,24,
1997-03,-,Nothing exists
1997-04,203,
1997-05,-,Nothing exists
1997-06,332,
1997-07,-,Nothing exists
1997-08,-,Nothing exists
1997-09,-,Nothing exists
1997-10,-,Nothing exists
1997-11,27,
1997-12,99,
1998-01,639,
1998-02,26,
1998-03,-,Nothing exists
1998-04,183,
1998-05,-,Nothing exists
1998-06,508,
1998-07,-,Nothing exists
1998-08,-,Nothing exists
1998-09,-,Nothing exists
1998-10,-,Nothing exists
1998-11,30,
1998-12,102,
1999-01,962,
1999-02,25,
1999-03,-,Nothing exists
1999-04,149,
1999-05,-,Nothing exists
1999-06,511,
1999-07,-,Nothing exists
1999-08,-,Nothing exists
1999-09,-,Nothing exists
1999-10,-,Nothing exists
1999-11,33,
1999-12,169,
2000-01,1059,
2000-02,26,
2000-03,-,Nothing exists
2000-04,127,
2000-05,-,Nothing exists
2000-06,540,
2000-07,-,Nothing exists
2000-08,-,Nothing exists
2000-09,-,Nothing exists
2000-10,-,Nothing exists
2000-11,36,
2000-12,173,
2001-01,913,
2001-02,23,
2001-03,-,Nothing exists
2001-04,119,
2001-05,-,Nothing exists
2001-06,357,
2001-07,14,
2001-08,2,
2001-09,20,
2001-10,-,Nothing exists
2001-11,38,
2001-12,213,
2002-01,1117,
2002-02,110,
2002-03,-,Nothing exists
2002-04,106,
2002-05,-,Nothing exists
2002-06,475,
2002-07,88,
2002-08,-,Nothing exists
2002-09,-,Nothing exists
2002-10,-,Nothing exists
2002-11,40,
2002-12,368,
2003-01,1464,
2003-02,26,
2003-03,-,Nothing exists
2003-04,91,
2003-05,-,Nothing exists
2003-06,983,
2003-07,107,
2003-08,-,Nothing exists
2003-09,-,Nothing exists
2003-10,21,
2003-11,30,
2003-12,509,
2004-01,1320,
2004-02,25,
2004-03,-,Nothing exists
2004-04,91,
2004-05,-,Nothing exists
2004-06,852,
2004-07,146,
2004-08,0,
2004-09,0,
2004-10,70,
2004-11,31,
2004-12,330,
2005-01,1085,
2005-02,21,
2005-03,6,
2005-04,-,Nothing exists
2005-05,3,
2005-06,796,
2005-07,215,
2005-08,4,
2005-09,5,
2005-10,125,
2005-11,32,
2005-12,691,
2006-01,997,
2006-02,21,
2006-03,10,
2006-04,106,
2006-05,-,Nothing exists
2006-06,500,
2006-07,208,
2006-08,-,Nothing exists
2006-09,-,Nothing exists
2006-10,232,
2006-11,32,
2006-12,311,
2007-01,924,
2007-02,-,Nothing exists
2007-03,29,
2007-04,120,
2007-05,-,Nothing exists
2007-06,276,
2007-07,588,
2007-08,14,
2007-09,-,Nothing exists
2007-10,217,
2007-11,46,
2007-12,135,
2008-01,614,
2008-02,8,
2008-03,46,
2008-04,98,
2008-05,-,Nothing exists
2008-06,307,
2008-07,175,
2008-08,20,
2008-09,217,
2008-10,63,
2008-11,32,
2008-12,369,
2009-01,777,
2009-02,-,Nothing exists
2009-03,44,
2009-04,134,
2009-05,-,Nothing exists
2009-06,583,
2009-07,316,
2009-08,32,
2009-09,162,
2009-10,222,
2009-11,-,Nothing exists
2009-12,357,
2010-01,527,
2010-02,-,Nothing exists
2010-03,47,
2010-04,46,
2010-05,-,Nothing exists
2010-06,401,
2010-07,602,
2010-08,-,Nothing exists
2010-09,13,
2010-10,52,
2010-11,36,
2010-12,727,
2011-01,492,
2011-02,-,Nothing exists
2011-03,38,
2011-04,33,
2011-05,-,Nothing exists
2011-06,652,
2011-07,326,
2011-08,8,
2011-09,7,
2011-10,58,
2011-11,38,
2011-12,312,
2012-01,667,
2012-02,-,Nothing exists
2012-03,-,Nothing exists
2012-04,162,
2012-05,1,
2012-06,-57,
2012-07,880,
2012-08,10,
2012-09,9,
2012-10,50,
2012-11,39,
2012-12,977,
2013-01,512,
2013-02,-,Nothing exists
2013-03,6,
2013-04,136,
2013-05,3,
2013-06,217,
2013-07,167,
2013-08,15,
2013-09,5,
2013-10,282,
2013-11,37,
2013-12,635,
2014-01,459,
2014-02,0,
2014-03,7,
2014-04,173,
2014-05,5,
2014-06,326,
2014-07,830,
2014-08,22,
2014-09,11,
2014-10,47,
2014-11,39,
