"",BBK01.CEHB20,BBK01.CEHB20_FLAGS
"",Long-term debt securities\n debtor: Domestic financial corporations                    creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:18:19,
1991-01,22.6,
1991-04,15.4,
1991-07,14.6,
1991-10,13.8,
1992-01,16.6,
1992-04,7.4,
1992-07,16.0,
1992-10,12.5,
1993-01,23.6,
1993-04,11.4,
1993-07,18.2,
1993-10,20.2,
1994-01,11.8,
1994-04,10.1,
1994-07,17.4,
1994-10,20.4,
1995-01,15.0,
1995-04,15.6,
1995-07,24.0,
1995-10,26.2,
1996-01,31.5,
1996-04,21.4,
1996-07,24.4,
1996-10,23.7,
1997-01,42.4,
1997-04,23.6,
1997-07,23.7,
1997-10,7.5,
1998-01,39.9,
1998-04,30.7,
1998-07,35.2,
1998-10,12.0,
1999-01,58.5,
1999-04,40.1,
1999-07,34.9,
1999-10,2.5,
2000-01,26.9,
2000-04,40.7,
2000-07,41.6,
2000-10,-2.4,
2001-01,44.8,
2001-04,21.2,
2001-07,9.4,
2001-10,13.0,
2002-01,28.0,
2002-04,-3.2,
2002-07,-5.0,
2002-10,-25.9,
2003-01,-4.8,
2003-04,2.3,
2003-07,19.7,
2003-10,-0.7,
2004-01,46.4,
2004-04,20.3,
2004-07,24.0,
2004-10,-21.3,
2005-01,32.1,
2005-04,51.5,
2005-07,-7.1,
2005-10,-17.3,
2006-01,20.2,
2006-04,1.3,
2006-07,2.6,
2006-10,1.3,
2007-01,19.9,
2007-04,16.7,
2007-07,-20.5,
2007-10,-23.1,
2008-01,-17.5,
2008-04,22.5,
2008-07,27.0,
2008-10,-22.9,
2009-01,26.2,
2009-04,4.8,
2009-07,-22.2,
2009-10,-50.5,
2010-01,5.7,
2010-04,-10.5,
2010-07,-51.8,
2010-10,-5.2,
2011-01,-16.9,
2011-04,-4.5,
2011-07,-17.0,
2011-10,-22.7,
2012-01,-46.4,
2012-04,-13.6,
2012-07,-20.9,
2012-10,-41.7,
2013-01,-30.8,
2013-04,-43.0,
2013-07,-29.7,
2013-10,-25.5,
2014-01,-26.0,
