"",BBK01.OEAC30I,BBK01.OEAC30I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:52:44,
2002-01,0.487,
2002-04,0.307,
2002-07,0.308,
2002-10,0.218,
2003-01,0.223,
2003-04,0.219,
2003-07,0.202,
2003-10,0.184,
2004-01,0.176,
2004-04,0.182,
2004-07,0.158,
2004-10,0.154,
2005-01,0.190,
2005-04,0.182,
2005-07,0.229,
2005-10,0.181,
2006-01,0.173,
2006-04,0.174,
2006-07,0.164,
2006-10,0.151,
2007-01,0.153,
2007-04,0.143,
2007-07,0.133,
2007-10,0.112,
2008-01,0.266,
2008-04,0.289,
2008-07,0.275,
2008-10,0.273,
2009-01,0.146,
2009-04,0.131,
2009-07,0.140,
2009-10,0.137,
2010-01,0.153,
2010-04,0.153,
2010-07,0.147,
2010-10,0.134,
2011-01,0.117,
2011-04,0.113,
2011-07,0.117,
2011-10,0.106,
2012-01,0.107,
2012-04,0.105,
2012-07,0.084,
2012-10,0.079,
2013-01,0.086,
2013-04,0.083,
2013-07,0.075,
2013-10,0.069,
2014-01,0.067,
2014-04,0.073,
2014-07,0.069,
