"",BBK01.OELI06P,BBK01.OELI06P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:56:00,
2002-01,0.471,
2002-04,0.481,
2002-07,0.461,
2002-10,0.403,
2003-01,0.414,
2003-04,0.405,
2003-07,0.384,
2003-10,0.366,
2004-01,0.356,
2004-04,0.348,
2004-07,0.337,
2004-10,0.336,
2005-01,0.327,
2005-04,0.315,
2005-07,0.307,
2005-10,0.296,
2006-01,0.298,
2006-04,0.291,
2006-07,0.289,
2006-10,0.274,
2007-01,0.268,
2007-04,0.269,
2007-07,0.289,
2007-10,0.287,
2008-01,0.290,
2008-04,0.291,
2008-07,0.305,
2008-10,0.310,
2009-01,0.284,
2009-04,0.262,
2009-07,0.232,
2009-10,0.219,
2010-01,0.212,
2010-04,0.191,
2010-07,0.187,
2010-10,0.186,
2011-01,0.185,
2011-04,0.182,
2011-07,0.173,
2011-10,0.164,
2012-01,0.158,
2012-04,0.161,
2012-07,0.159,
2012-10,0.154,
2013-01,0.146,
2013-04,0.138,
2013-07,0.122,
2013-10,0.106,
2014-01,0.099,
2014-04,0.083,
2014-07,0.078,
