"",BBK01.OEAC21O,BBK01.OEAC21O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:51:56,
2002-01,0.237,
2002-04,0.260,
2002-07,0.268,
2002-10,0.219,
2003-01,0.236,
2003-04,0.254,
2003-07,0.250,
2003-10,0.207,
2004-01,0.229,
2004-04,0.250,
2004-07,0.252,
2004-10,0.204,
2005-01,0.215,
2005-04,0.226,
2005-07,0.222,
2005-10,0.178,
2006-01,0.207,
2006-04,0.222,
2006-07,0.217,
2006-10,0.158,
2007-01,0.179,
2007-04,0.199,
2007-07,0.189,
2007-10,0.143,
2008-01,0.165,
2008-04,0.185,
2008-07,0.173,
2008-10,0.130,
2009-01,0.153,
2009-04,0.175,
2009-07,0.168,
2009-10,0.134,
2010-01,0.142,
2010-04,0.177,
2010-07,0.159,
2010-10,0.110,
2011-01,0.133,
2011-04,0.157,
2011-07,0.143,
2011-10,0.111,
2012-01,0.134,
2012-04,0.157,
2012-07,0.149,
2012-10,0.110,
2013-01,0.135,
2013-04,0.157,
2013-07,0.144,
2013-10,0.106,
2014-01,0.131,
2014-04,0.150,
2014-07,0.151,
