"",BBFN1.M.DE.N.1.L.G9.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.G9.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents / Total / Other European countries,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:17:22,
1995-01,22.333,
1995-02,22.944,
1995-03,22.618,
1995-04,22.439,
1995-05,22.432,
1995-06,22.847,
1995-07,22.987,
1995-08,23.269,
1995-09,23.310,
1995-10,22.970,
1995-11,23.308,
1995-12,22.482,
1996-01,22.226,
1996-02,22.283,
1996-03,22.595,
1996-04,22.466,
1996-05,22.552,
1996-06,22.889,
1996-07,23.233,
1996-08,22.863,
1996-09,23.670,
1996-10,23.178,
1996-11,23.155,
1996-12,23.420,
1997-01,22.965,
1997-02,23.084,
1997-03,22.950,
1997-04,22.995,
1997-05,22.753,
1997-06,22.824,
1997-07,22.648,
1997-08,22.447,
1997-09,22.678,
1997-10,22.411,
1997-11,22.930,
1997-12,23.458,
1998-01,23.342,
1998-02,23.683,
1998-03,24.005,
1998-04,23.805,
1998-05,23.977,
1998-06,24.376,
1998-07,23.434,
1998-08,23.476,
1998-09,23.338,
1998-10,22.403,
1998-11,22.058,
1998-12,22.331,
1999-01,22.366,
1999-02,22.769,
1999-03,22.910,
1999-04,24.207,
1999-05,24.071,
1999-06,24.279,
1999-07,23.694,
1999-08,24.568,
1999-09,24.585,
1999-10,26.120,
1999-11,26.317,
1999-12,26.932,
2000-01,27.166,
2000-02,27.464,
2000-03,29.636,
2000-04,32.689,
2000-05,31.887,
2000-06,32.982,
2000-07,33.207,
2000-08,33.522,
2000-09,35.452,
2000-10,36.403,
2000-11,36.877,
2000-12,35.965,
2001-01,38.980,
2001-02,38.084,
2001-03,37.267,
2001-04,36.984,
2001-05,34.327,
2001-06,35.384,
2001-07,34.999,
2001-08,34.885,
2001-09,35.916,
2001-10,35.554,
2001-11,35.255,
2001-12,34.914,
2002-01,31.350,
2002-02,31.199,
2002-03,30.536,
2002-04,33.677,
2002-05,35.641,
2002-06,35.121,
2002-07,34.602,
2002-08,34.993,
2002-09,36.638,
2002-10,37.505,
2002-11,37.583,
2002-12,38.100,
2003-01,41.047,
2003-02,42.343,
2003-03,44.020,
2003-04,44.084,
2003-05,44.319,
2003-06,45.206,
2003-07,44.932,
2003-08,45.353,
2003-09,46.034,
2003-10,46.623,
2003-11,46.949,
2003-12,43.630,
2004-01,42.930,
2004-02,44.494,
2004-03,45.415,
2004-04,45.991,
2004-05,36.957,
2004-06,36.550,
2004-07,35.905,
2004-08,36.492,
2004-09,37.251,
2004-10,37.533,
2004-11,35.266,
2004-12,35.202,
2005-01,35.453,
2005-02,35.292,
2005-03,35.037,
2005-04,35.526,
2005-05,35.629,
2005-06,38.725,
2005-07,39.775,
2005-08,40.097,
2005-09,40.670,
2005-10,38.984,
2005-11,39.616,
2005-12,42.108,
2006-01,42.604,
2006-02,42.346,
2006-03,43.256,
2006-04,43.182,
2006-05,42.904,
2006-06,41.108,
2006-07,40.751,
2006-08,38.287,
2006-09,39.710,
2006-10,39.491,
2006-11,40.913,
2006-12,45.952,
2007-01,46.162,
2007-02,48.130,
2007-03,44.806,
2007-04,44.679,
2007-05,49.008,
2007-06,58.324,
2007-07,52.628,
2007-08,54.720,
2007-09,53.100,
2007-10,55.169,
2007-11,55.134,
2007-12,49.268,
2008-01,46.336,
2008-02,51.229,
2008-03,51.273,
2008-04,54.372,
2008-05,48.952,
2008-06,59.264,
2008-07,53.933,
2008-08,54.539,
2008-09,50.466,
2008-10,57.303,
2008-11,56.409,
2008-12,54.140,
2009-01,43.957,
2009-02,44.424,
2009-03,45.881,
2009-04,46.202,
2009-05,43.503,
2009-06,44.427,
2009-07,45.747,
2009-08,46.521,
2009-09,47.377,
2009-10,46.954,
2009-11,47.520,
2009-12,52.257,
2010-01,42.630,
2010-02,43.646,
2010-03,47.934,
2010-04,44.709,
2010-05,44.757,
2010-06,46.966,
2010-07,48.542,
2010-08,47.128,
2010-09,47.776,
2010-10,47.722,
2010-11,47.228,
2010-12,50.217,
2011-01,51.404,
2011-02,49.123,
2011-03,51.566,
2011-04,51.847,
2011-05,52.768,
2011-06,52.423,
2011-07,54.558,
2011-08,55.604,
2011-09,58.914,
2011-10,59.865,
2011-11,61.260,
2011-12,62.757,
2012-01,57.589,
2012-02,58.578,
2012-03,61.252,
2012-04,62.593,
2012-05,62.555,
2012-06,64.204,
2012-07,63.654,
2012-08,60.958,
2012-09,63.403,
2012-10,64.436,
2012-11,61.985,
2012-12,14.112,
2013-01,14.045,
2013-02,13.887,
2013-03,13.973,
2013-04,13.009,
2013-05,12.822,
2013-06,13.660,
2013-07,14.440,
2013-08,14.411,
2013-09,14.440,
2013-10,14.611,
2013-11,14.986,
2013-12,14.689,
2014-01,14.536,
2014-02,15.031,
2014-03,15.392,
2014-04,14.876,
2014-05,14.621,
2014-06,14.595,
2014-07,14.509,
2014-08,14.832,
2014-09,14.437,
2014-10,14.391,
2014-11,14.488,
2014-12,13.475,
"","General: Up to April 2004, including Cyprus, the Czech Republic, Estonia, Hungary, Latvia, Lithuania, Malta, Poland, the Slovak Republic and Slovenia; up to December 2006, including Bulgaria and Romania.",
