"",BBFN1.M.DE.N.1.A.W03100.S1P.F0.L.NV00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.W03100.S1P.F0.L.NV00.Z01.BGA.X001.D_FLAGS
"",Long-term claims of enterprises on foreign affiliated enterprises arising from financial operations / Total / Emerging economies and developing countries,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:07:58,
1995-01,1.142,
1995-02,1.144,
1995-03,1.160,
1995-04,1.186,
1995-05,1.212,
1995-06,1.210,
1995-07,1.213,
1995-08,1.271,
1995-09,1.295,
1995-10,1.330,
1995-11,1.333,
1995-12,1.235,
1996-01,1.293,
1996-02,1.311,
1996-03,1.334,
1996-04,1.362,
1996-05,1.413,
1996-06,1.506,
1996-07,1.515,
1996-08,1.478,
1996-09,1.476,
1996-10,1.493,
1996-11,1.553,
1996-12,1.656,
1997-01,1.717,
1997-02,1.714,
1997-03,1.797,
1997-04,1.893,
1997-05,2.000,
1997-06,2.033,
1997-07,2.207,
1997-08,2.424,
1997-09,2.516,
1997-10,2.617,
1997-11,2.740,
1997-12,2.745,
1998-01,2.956,
1998-02,3.019,
1998-03,3.149,
1998-04,3.141,
1998-05,3.383,
1998-06,3.422,
1998-07,3.435,
1998-08,3.528,
1998-09,3.715,
1998-10,3.718,
1998-11,3.676,
1998-12,3.734,
1999-01,3.775,
1999-02,3.774,
1999-03,3.816,
1999-04,3.927,
1999-05,3.978,
1999-06,4.034,
1999-07,4.074,
1999-08,4.164,
1999-09,4.165,
1999-10,4.225,
1999-11,4.294,
1999-12,4.302,
2000-01,4.255,
2000-02,4.239,
2000-03,4.157,
2000-04,4.122,
2000-05,4.173,
2000-06,4.218,
2000-07,4.208,
2000-08,4.249,
2000-09,4.361,
2000-10,4.435,
2000-11,4.602,
2000-12,4.483,
2001-01,4.531,
2001-02,4.530,
2001-03,4.698,
2001-04,4.823,
2001-05,4.804,
2001-06,4.625,
2001-07,4.690,
2001-08,4.798,
2001-09,4.933,
2001-10,4.977,
2001-11,4.350,
2001-12,4.361,
2002-01,4.495,
2002-02,4.465,
2002-03,4.286,
2002-04,4.251,
2002-05,4.253,
2002-06,4.375,
2002-07,4.456,
2002-08,4.494,
2002-09,4.431,
2002-10,4.421,
2002-11,4.455,
2002-12,4.273,
2003-01,4.174,
2003-02,4.185,
2003-03,4.095,
2003-04,4.011,
2003-05,4.077,
2003-06,4.107,
2003-07,4.488,
2003-08,4.276,
2003-09,4.166,
2003-10,4.177,
2003-11,4.152,
2003-12,3.856,
2004-01,3.714,
2004-02,3.682,
2004-03,3.568,
2004-04,3.557,
2004-05,1.949,
2004-06,1.907,
2004-07,1.968,
2004-08,1.969,
2004-09,2.023,
2004-10,2.036,
2004-11,2.013,
2004-12,1.950,
2005-01,2.025,
2005-02,2.017,
2005-03,2.071,
2005-04,2.129,
2005-05,2.152,
2005-06,2.277,
2005-07,2.312,
2005-08,2.365,
2005-09,2.367,
2005-10,2.474,
2005-11,2.497,
2005-12,2.523,
2006-01,2.454,
2006-02,2.423,
2006-03,2.477,
2006-04,2.528,
2006-05,2.678,
2006-06,2.970,
2006-07,3.046,
2006-08,3.153,
2006-09,3.284,
2006-10,3.413,
2006-11,3.443,
2006-12,3.062,
2007-01,2.766,
2007-02,2.793,
2007-03,2.780,
2007-04,2.889,
2007-05,3.105,
2007-06,3.166,
2007-07,3.324,
2007-08,3.437,
2007-09,3.575,
2007-10,3.492,
2007-11,3.538,
2007-12,4.011,
2008-01,3.961,
2008-02,3.957,
2008-03,4.101,
2008-04,4.281,
2008-05,4.515,
2008-06,4.526,
2008-07,4.438,
2008-08,4.407,
2008-09,4.372,
2008-10,4.643,
2008-11,4.852,
2008-12,4.586,
2009-01,4.787,
2009-02,4.981,
2009-03,5.034,
2009-04,5.103,
2009-05,5.177,
2009-06,5.241,
2009-07,5.120,
2009-08,5.113,
2009-09,5.190,
2009-10,5.212,
2009-11,5.320,
2009-12,5.314,
2010-01,5.574,
2010-02,5.811,
2010-03,5.861,
2010-04,5.931,
2010-05,6.150,
2010-06,6.109,
2010-07,6.221,
2010-08,6.120,
2010-09,5.828,
2010-10,6.054,
2010-11,6.248,
2010-12,6.509,
2011-01,6.734,
2011-02,6.803,
2011-03,7.197,
2011-04,7.209,
2011-05,7.455,
2011-06,7.651,
2011-07,7.855,
2011-08,8.015,
2011-09,8.378,
2011-10,8.509,
2011-11,8.503,
2011-12,8.530,
2012-01,8.677,
2012-02,8.707,
2012-03,8.666,
2012-04,8.822,
2012-05,8.982,
2012-06,9.013,
2012-07,9.443,
2012-08,9.384,
2012-09,9.306,
2012-10,9.517,
2012-11,9.550,
2012-12,9.593,
2013-01,9.572,
2013-02,9.818,
2013-03,10.108,
2013-04,10.033,
2013-05,9.961,
2013-06,9.897,
2013-07,9.829,
2013-08,9.950,
2013-09,9.713,
2013-10,9.756,
2013-11,9.648,
2013-12,9.469,
2014-01,9.399,
2014-02,9.291,
2014-03,9.267,
2014-04,11.474,
2014-05,9.442,
2014-06,9.489,
2014-07,9.525,
2014-08,9.585,
2014-09,9.644,
2014-10,10.626,
2014-11,10.452,
2014-12,10.590,
"","General: All countries that are not regarded as industrial countries. Up to December 2010 including Niederl. Antillen; from January 2011 including Bonaire,St.Eustatius, Saba; Curacao; St.Martin (Dutch part)",
