"",BBFB1.Q.N.DE.CZ.S1.S1.T.B.S._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.CZ.S1.S1.T.B.S._Z._Z._Z._T._X.N_FLAGS
"",Current account / Services / Balance / Czech Republic,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:30:51,
1991-01,-,Nothing exists
1991-04,-,Nothing exists
1991-07,-,Nothing exists
1991-10,-,Nothing exists
1992-01,-,Nothing exists
1992-04,-,Nothing exists
1992-07,-,Nothing exists
1992-10,-,Nothing exists
1993-01,-59.664,
1993-04,-79.356,
1993-07,-98.846,
1993-10,-75.816,
1994-01,-88.472,
1994-04,-120.465,
1994-07,-131.443,
1994-10,-77.104,
1995-01,-102.471,
1995-04,-146.200,
1995-07,-152.515,
1995-10,-93.167,
1996-01,-220.916,
1996-04,-263.028,
1996-07,-264.677,
1996-10,-186.838,
1997-01,-216.025,
1997-04,-310.713,
1997-07,-286.543,
1997-10,-233.944,
1998-01,-281.432,
1998-04,-320.920,
1998-07,-300.246,
1998-10,-270.182,
1999-01,-283.934,
1999-04,-321.374,
1999-07,-340.382,
1999-10,-292.955,
2000-01,-352.974,
2000-04,-420.704,
2000-07,-455.506,
2000-10,-317.049,
2001-01,-381.531,
2001-04,-399.582,
2001-07,-480.113,
2001-10,-295.872,
2002-01,-278.152,
2002-04,-307.099,
2002-07,-376.433,
2002-10,-297.345,
2003-01,-410.349,
2003-04,-496.782,
2003-07,-513.288,
2003-10,-403.165,
2004-01,-430.908,
2004-04,-496.184,
2004-07,-433.490,
2004-10,-502.286,
2005-01,-694.130,
2005-04,-623.357,
2005-07,-774.279,
2005-10,-532.616,
2006-01,-649.313,
2006-04,-720.623,
2006-07,-726.916,
2006-10,-636.831,
2007-01,-669.806,
2007-04,-658.352,
2007-07,-769.303,
2007-10,-645.308,
2008-01,-751.336,
2008-04,-787.812,
2008-07,-769.694,
2008-10,-653.804,
2009-01,-622.207,
2009-04,-508.990,
2009-07,-710.448,
2009-10,-494.519,
2010-01,-593.980,
2010-04,-562.080,
2010-07,-450.196,
2010-10,-571.733,
2011-01,-495.698,
2011-04,-539.451,
2011-07,-444.389,
2011-10,-516.855,
2012-01,-475.029,
2012-04,-429.434,
2012-07,-346.913,
2012-10,-407.715,
2013-01,-570.868,
2013-04,-466.671,
2013-07,-459.521,
2013-10,-408.047,
2014-01,-335.165,Provisional value
2014-04,-350.876,Provisional value
2014-07,-262.506,Provisional value
