"",BBK01.OECM03H,BBK01.OECM03H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:40:35,
2002-01,2.055,
2002-04,1.930,
2002-07,2.090,
2002-10,1.432,
2003-01,1.435,
2003-04,1.654,
2003-07,1.527,
2003-10,1.147,
2004-01,1.662,
2004-04,1.307,
2004-07,1.237,
2004-10,0.908,
2005-01,1.404,
2005-04,1.179,
2005-07,1.285,
2005-10,1.747,
2006-01,1.454,
2006-04,1.667,
2006-07,2.708,
2006-10,3.666,
2007-01,3.372,
2007-04,4.405,
2007-07,6.831,
2007-10,9.773,
2008-01,6.985,
2008-04,8.269,
2008-07,8.277,
2008-10,10.165,
2009-01,8.051,
2009-04,6.874,
2009-07,4.513,
2009-10,2.365,
2010-01,4.074,
2010-04,2.538,
2010-07,4.963,
2010-10,5.738,
2011-01,5.614,
2011-04,9.055,
2011-07,5.531,
2011-10,5.208,
2012-01,6.747,
2012-04,9.222,
2012-07,7.293,
2012-10,6.163,
2013-01,7.720,
2013-04,8.668,
2013-07,8.515,
2013-10,8.460,
2014-01,9.548,
2014-04,9.729,
2014-07,8.642,
