"",BBK01.OEAC38V,BBK01.OEAC38V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:53:49,
2002-01,0.015,
2002-04,0.016,
2002-07,0.019,
2002-10,0.021,
2003-01,0.053,
2003-04,0.053,
2003-07,0.051,
2003-10,0.048,
2004-01,0.047,
2004-04,0.049,
2004-07,0.043,
2004-10,0.040,
2005-01,0.039,
2005-04,0.035,
2005-07,0.032,
2005-10,0.053,
2006-01,0.049,
2006-04,0.047,
2006-07,0.047,
2006-10,0.047,
2007-01,0.044,
2007-04,0.043,
2007-07,0.042,
2007-10,0.038,
2008-01,0.209,
2008-04,0.012,
2008-07,0.020,
2008-10,0.118,
2009-01,0.127,
2009-04,0.250,
2009-07,0.155,
2009-10,0.223,
2010-01,0.169,
2010-04,0.197,
2010-07,0.202,
2010-10,0.200,
2011-01,0.214,
2011-04,0.326,
2011-07,0.461,
2011-10,0.473,
2012-01,0.473,
2012-04,0.454,
2012-07,0.486,
2012-10,0.400,
2013-01,0.394,
2013-04,0.365,
2013-07,0.328,
2013-10,0.340,
2014-01,0.344,
2014-04,0.353,
2014-07,0.322,
