"",BBK01.OEHB18V,BBK01.OEHB18V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:42:46,
2002-01,0.491,
2002-04,0.528,
2002-07,0.540,
2002-10,0.542,
2003-01,0.518,
2003-04,0.529,
2003-07,0.551,
2003-10,0.553,
2004-01,0.515,
2004-04,0.523,
2004-07,0.521,
2004-10,0.492,
2005-01,0.522,
2005-04,0.501,
2005-07,0.485,
2005-10,0.502,
2006-01,0.450,
2006-04,0.409,
2006-07,0.425,
2006-10,0.423,
2007-01,0.399,
2007-04,0.393,
2007-07,0.395,
2007-10,0.375,
2008-01,0.328,
2008-04,0.321,
2008-07,0.340,
2008-10,0.343,
2009-01,0.333,
2009-04,0.340,
2009-07,0.331,
2009-10,0.330,
2010-01,0.298,
2010-04,0.300,
2010-07,0.295,
2010-10,0.312,
2011-01,0.296,
2011-04,0.310,
2011-07,0.327,
2011-10,0.336,
2012-01,0.324,
2012-04,0.333,
2012-07,0.200,
2012-10,0.196,
2013-01,0.178,
2013-04,0.175,
2013-07,0.185,
2013-10,0.174,
2014-01,0.166,
2014-04,0.162,
2014-07,0.163,
