"",BBK01.PQM358,BBK01.PQM358_FLAGS
"",Lending to domestic self-employed persons / Total / Mortgage banks,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-16 10:23:58,
1968-10,5.360,
1969-01,5.392,
1969-04,5.468,
1969-07,5.563,
1969-10,5.661,
1970-01,5.702,
1970-04,5.761,
1970-07,5.852,
1970-10,5.720,
1971-01,5.782,
1971-04,5.903,
1971-07,6.055,
1971-10,6.234,
1972-01,6.390,
1972-04,6.591,
1972-07,6.265,
1972-10,6.527,
1973-01,6.862,
1973-04,7.059,
1973-07,7.253,
1973-10,7.496,
1974-01,7.613,
1974-04,7.785,
1974-07,7.965,
1974-10,8.199,
1975-01,8.336,
1975-04,8.545,
1975-07,8.711,
1975-10,8.896,
1976-01,9.006,
1976-04,8.898,
1976-07,9.014,
1976-10,9.209,
1977-01,9.311,
1977-04,9.505,
1977-07,9.681,
1977-10,9.985,
1978-01,10.165,
1978-04,10.464,
1978-07,10.718,
1978-10,11.004,
1979-01,11.186,
1979-04,11.358,
1979-07,11.519,
1979-10,11.804,
1980-01,11.981,
1980-04,12.190,
1980-07,12.499,
1980-10,12.918,
1981-01,13.254,
1981-04,13.678,
1981-07,14.067,
1981-10,14.731,
1982-01,14.902,
1982-04,15.453,
1982-07,16.253,
1982-10,17.094,
1983-01,17.472,
1983-04,17.100,
1983-07,17.484,
1983-10,18.082,
1984-01,18.221,
1984-04,18.495,
1984-07,18.815,
1984-10,19.359,
1985-01,19.805,
1985-04,20.114,
1985-07,20.691,
1985-10,21.329,
1986-01,21.375,
1986-04,21.749,
1986-07,22.229,
1986-10,22.695,
1987-01,22.885,
1987-04,23.116,
1987-07,23.543,
1987-10,23.821,
1988-01,23.907,
1988-04,23.926,
1988-07,24.244,
1988-10,24.625,
1989-01,24.939,
1989-04,25.127,
1989-07,24.943,
1989-10,25.455,
1990-01,25.748,
1990-04,25.933,
1990-07,26.213,
1990-10,26.801,
1991-01,27.180,
1991-04,27.888,
1991-07,28.482,
1991-10,29.459,
1992-01,27.966,
1992-04,28.727,
1992-07,29.388,
1992-10,30.651,
1993-01,30.938,
1993-04,32.068,
1993-07,33.376,
1993-10,35.448,
1994-01,36.658,
1994-04,37.367,
1994-07,38.262,
1994-10,39.395,
1995-01,39.960,
1995-04,40.217,
1995-07,41.071,
1995-10,41.838,
1996-01,42.305,
1996-04,41.822,
1996-07,42.066,
1996-10,43.483,
1997-01,43.970,
1997-04,44.572,
1997-07,45.182,
1997-10,45.848,
1998-01,46.022,
1998-04,46.765,
1998-07,47.404,
1998-10,48.620,
1999-01,45.488,
1999-04,46.582,
1999-07,47.348,
1999-10,47.587,
2000-01,47.932,
2000-04,48.915,
2000-07,50.407,
2000-10,50.559,
2001-01,51.445,
2001-04,51.336,
2001-07,51.044,
2001-10,50.838,
2002-01,50.395,
2002-04,49.852,
2002-07,49.209,
2002-10,49.433,
2003-01,49.273,
2003-04,47.677,
2003-07,46.987,
2003-10,45.691,
2004-01,43.658,
2004-04,43.284,
2004-07,42.493,
2004-10,40.832,
2005-01,39.040,
2005-04,38.192,
2005-07,38.330,
2005-10,35.891,
2006-01,34.664,
2006-04,33.793,
2006-07,32.688,
2006-10,31.369,
2007-01,30.424,
2007-04,29.324,
2007-07,28.447,
2007-10,26.425,
2008-01,25.926,
2008-04,24.996,
2008-07,24.142,
2008-10,23.702,
2009-01,22.920,
2009-04,23.448,
2009-07,22.383,
2009-10,21.529,
2010-01,21.240,
2010-04,20.473,
2010-07,20.004,
2010-10,19.320,
2011-01,18.670,
2011-04,18.458,
2011-07,17.858,
2011-10,16.961,
2012-01,16.435,
2012-04,16.083,
2012-07,15.636,
2012-10,15.300,
2013-01,15.001,
2013-04,14.550,
2013-07,14.300,
2013-10,12.721,
2014-01,12.443,
2014-04,12.160,
2014-07,12.031,
2014-10,11.742,
