"",BBK01.OEAH22S,BBK01.OEAH22S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:30:15,
2002-01,1.862,
2002-04,1.904,
2002-07,1.906,
2002-10,1.904,
2003-01,1.887,
2003-04,1.853,
2003-07,1.854,
2003-10,1.893,
2004-01,1.920,
2004-04,1.937,
2004-07,1.900,
2004-10,1.934,
2005-01,1.912,
2005-04,1.901,
2005-07,1.853,
2005-10,1.808,
2006-01,1.748,
2006-04,1.724,
2006-07,1.711,
2006-10,1.697,
2007-01,1.689,
2007-04,1.692,
2007-07,1.702,
2007-10,1.715,
2008-01,1.706,
2008-04,1.687,
2008-07,1.701,
2008-10,1.704,
2009-01,1.660,
2009-04,1.588,
2009-07,1.479,
2009-10,1.429,
2010-01,1.360,
2010-04,1.279,
2010-07,1.229,
2010-10,1.195,
2011-01,1.177,
2011-04,1.212,
2011-07,1.189,
2011-10,1.225,
2012-01,1.215,
2012-04,1.213,
2012-07,1.189,
2012-10,1.079,
2013-01,1.045,
2013-04,1.051,
2013-07,1.050,
2013-10,1.068,
2014-01,1.071,
2014-04,1.087,
2014-07,1.108,
